permit_type,permit_num,permit_class_mapped,permit_class,work_class,condominium,project_name,description,tcad_id,issued_date,calendar_year_issued,fiscal_year_issued,status_current,expires_date,completed_date,council_district,housing_units,number_of_floors,total_job_valuation,original_zip,jurisdiction,link,project_id,master_permit_num,contractor_company_name,contractor_phone,contractor_zip,applicant_organization,applicant_phone,certificate_of_occupancy,original_address_1
BP,2003-011504 BP,Residential,R- 101 Single Family Houses,New,No,5220 Fort Benton Dr,New One Story Res W/Att Garage Covered Porch & Uncovered Patio,0101400947,2003-10-06,2003,2004,Final,2004-03-17,2004-03-17,8,NA,2,"$125,350.00",78735,AUSTIN FULL PURPOSE,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=703706,703706,230866,D R Horton Homes,5125331445,78750,NA,NA,Yes,5220 FORT BENTON DR
BP,2003-012039 BP,Residential,R- 101 Single Family Houses,New,No,9516 Colebrook St,New One Story Res W/Att Garage Covered Patio & Porch,0418401212,2003-10-16,2003,2004,Final,2004-03-16,2004-03-16,8,NA,1,"$117,642.00",78749,AUSTIN FULL PURPOSE,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=703945,703945,231192,Capital Pacific Homes Inc.,5123208888,78738,NA,NA,Yes,9516 COLEBROOK ST
BP,2003-015259 BP,Residential,R- 101 Single Family Houses,New,No,2303 Wilma Rudolph Rd,New One Story Res W/Att Garage Covered Patio & Porch,0436252204,2003-10-28,2003,2004,Final,2004-02-10,2004-02-10,5,NA,1,"$45,465.00",78748,AUSTIN FULL PURPOSE,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=704296,704296,231667,"Milburn, Bill",5123454663,78727,NA,NA,Yes,2303 WILMA RUDOLPH RD
BP,2003-016411 BP,Residential,R- 101 Single Family Houses,New,No,11131 Alison Parke Trl,New Two Story Res W/Att Garage Covered Porch & Uncovered Patio,R399781,2003-11-07,2003,2004,Final,2004-07-20,2004-07-20,6,NA,2,"$143,960.00",78750,AUSTIN FULL PURPOSE,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=711575,711575,231973,"Wilshire Homes, L.P.",5124853335,78759,NA,NA,Yes,11131 ALISON PARKE TRL
BP,2003-008628 BP,Residential,R- 101 Single Family Houses,New,No,6101 York Bridge Cir,New Two Story Res W/Att Garage Covered Porch & Covered Patio,0420380102,2003-09-26,2003,2003,Final,2004-02-17,2004-02-17,8,NA,2,"$108,737.00",78749,AUSTIN FULL PURPOSE,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=703553,703553,230386,Capital Pacific Homes Inc.,5123208888,78738,NA,NA,Yes,6101 YORK BRIDGE CIR
BP,2003-015310 BP,Residential,R- 101 Single Family Houses,New,No,9905 Bundoran Dr,New Two Story Res W/Att Garage Covered Patio & Porch,R417340,2003-10-29,2003,2004,Final,2004-04-02,2004-04-02,6,NA,2,"$158,196.00",78717,AUSTIN FULL PURPOSE,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=704324,704324,231715,"Wilshire Homes, L.P.",5124853335,78759,NA,NA,Yes,9905 BUNDORAN DR
BP,2003-011943 BP,Residential,R- 101 Single Family Houses,New,No,11004 Hattery Ln,New One Story Res W/Att Garage Covered Patio & Covered Porch,R424626,2003-10-16,2003,2004,Final,2004-02-03,2004-02-03,6,NA,1,"$57,750.00",78717,AUSTIN FULL PURPOSE,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=753414,753414,231117,"Milburn, Bill",5123454663,78727,NA,NA,Yes,11004 HATTERY LN
BP,2003-015594 BP,Residential,R- 101 Single Family Houses,New,No,16201 Castletroy Dr,New One Story Res W/Att Garage Covered Patio & Porch,R411858,2003-10-28,2003,2004,Final,2004-02-23,2004-02-23,6,NA,1,"$61,460.00",78717,AUSTIN FULL PURPOSE,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=704471,704471,231679,"Milburn, Bill",5123454663,78727,NA,NA,Yes,16201 CASTLETROY DR
BP,2003-015910 BP,Residential,R- 101 Single Family Houses,New,No,2114 Narrow Glen Pkwy,New Two Story Res Wa/Att Garage Covered Patio & Porch,0434070101,2003-11-14,2003,2004,Final,2004-02-24,2004-02-24,5,NA,2,"$87,874.00",78744,AUSTIN FULL PURPOSE,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=704609,704609,232073,Lennar Homes of Texas***MAIN***,5125064000,78717,NA,NA,Yes,2114 NARROW GLEN PKWY
BP,2003-018997 BP,Residential,R- 101 Single Family Houses,New,No,8613 Claude Ct,New One Story Res W/Att Garage Covered Porch & Uncovered Patio (S.Ma.R.T Housing),0338030105,2003-11-20,2003,2004,Final,2004-02-10,2004-02-10,2,NA,1,"$49,932.00",78747,AUSTIN FULL PURPOSE,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=762078,762078,232357,KB Home,5126518100,78750,NA,NA,Yes,8613 CLAUDE CT
