project_name,description,issued_date,housing_units,number_of_floors,original_address_1,original_zip,council_district,completed_date,link,clean_address,clean_address_2,city,state,country
11102 BELL FARM RD UNIT B,NEW CONDO REGIME -DUPLEX. UNIT #B: TYPE 2 (A1) 1 BED 1 BATH,2025-03-31,1,1,11102 BELL FARM RD UNIT B,78754,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13491765,11102 BELL FARM ROAD UNIT B,NA,Austin,Texas,United States
2513 E 10TH ST,2513 E 10th St : New 2 story residence with covered porch 1 car garage 3 bedroom 2.5 bath.  Part of 3 unit use.,2025-04-01,1,2,2513 E 10TH ST,78702,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13486951,2513 EAST 10TH STREET,NA,Austin,Texas,United States
4706 CLARKSON AVE UNIT A,ePlan: Residential Expedited Review - New construction of a 3-Story Single Family Res. [3bed 2.5bath] with Attached Carport. 4706 Clarkson Ave Unit A,2025-04-09,1,3,4706 CLARKSON AVE UNIT A,78751,9,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13498007,4706 CLARKSON AVE UNIT A,NA,Austin,Texas,United States
2806 THRESH RD UNIT B,NEW CONDO REGIME -  DUPLEX. UNIT #B: TYPE 2 (B0) 2 BED 2 BATH.,2025-04-07,1,1,2806 THRESH RD UNIT B,78754,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13493747,2806 THRESH ROAD UNIT B,NA,Austin,Texas,United States
2808 THRESH RD Unit 2A *VOLUME BUILDER- CONDO DUPLEX*,NEW CONDO REGIME - BLDG #2 DUPLEX. UNIT #2A: TYPE 2 (B0) HAS 2 BED 2 BATH. UNIT#B: TYPE 2 (A1) 1 BED 1 BATH.,2025-04-09,2,1,2808 THRESH RD UNIT 2A,78754,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13497931,2808 THRESH ROAD UNIT 2A,NA,Austin,Texas,United States
1301 SNOWY FOX CT,Building 1301 Snowy Fox Ct New 2 unit 3 story  2/2.5,2025-03-31,2,3,1301 SNOWY FOX CT,78721,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13489717,1301 SNOWY FOX CT,NA,Austin,Texas,United States
2414 DREW LN BLDG 6,Building 6   New construction of 2 story residence with  3 bedroom 2.5 bath 1-car garage.  Part of 3 unit use.  Four properties sharing a driveway each w/ three units.,2025-04-09,1,2,2414 DREW LN BLDG 6,78748,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13498427,2414 DREW LANE BLDG 6,NA,Austin,Texas,United States
3201 MAYWOOD AVE,ePlan: Residential Expedited Review - New construction of a 2-Story Single Family Res. [2bed 2.5bath]  Attached Garage.,2025-04-11,1,2,3201 MAYWOOD AVE,78703,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13498874,3201 MAYWOOD AVE,NA,Austin,Texas,United States
2014 KIT CIR,2385 (Silverton) I - Right - 4 Bedrooms 3.5 Bathrooms Opt Study Cov Patio Cov Upper Patio & Entry with a 2 Car attached Garage.,2025-04-07,1,2,2014 KIT CIR,78758,7,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13496363,2014 KIT CIR,NA,Austin,Texas,United States
1310 HASKELL ST,"ePlan: Residential Expedited Review - New construction of a THREE UNIT RES.
New construction of a 3-Story Single Family Res. [3bed 2.5bath] with attached Carport. 1310 Haskell St",2025-04-23,1,3,1310 HASKELL ST,78702,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13494555,1310 HASKELL STREET,NA,Austin,Texas,United States
2420 DREW LN BLDG 2,Bldg 2: New construction of a 2-story detached residence  with 2 bedroom 2.5 bathroom. Part of 3 unit use.,2025-04-30,1,2,2420 DREW LN BLDG 2,78748,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13510402,2420 DREW LANE BLDG 2,NA,Austin,Texas,United States
2805 RANCHERO RD UNIT 1B,NEW CONDO REGIME - BLDG#1 DUPLEX. UNIT #1B: TYPE 2 (A1) 1 BED 1 BATH,2025-03-31,1,1,2805 RANCHERO RD UNIT 1B,78754,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13492657,2805 RANCHERO ROAD UNIT 1B,NA,Austin,Texas,United States
4308 HANK AVE BLDG 1,"Plan: Residential Expedited Review - New construction of a 3-Story Single Family Res. [3bed 3.5bath] with attached 
Carport. Bldg 1",2025-04-14,1,3,4308 HANK AVE BLDG 1,78745,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13479672,4308 HANK AVE BLDG 1,NA,Austin,Texas,United States
10906 BELL FARM RD UNIT A,NEW CONDO REGIME - DUPLEX UNIT #A TYPE 3 (B0) 2 BED 2 BATH,2025-03-31,1,1,10906 BELL FARM RD UNIT A,78754,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13492685,10906 BELL FARM ROAD UNIT A,NA,Austin,Texas,United States
2808 THRESH RD UNIT 2B,NEW CONDO REGIME - BLDG #2 DUPLEX. UNIT #2A: TYPE 2 (B0) HAS 2 BED 2 BATH. UNIT#B: TYPE 2 (A1) 1 BED 1 BATH.,2025-04-11,2,1,2808 THRESH RD UNIT 2B,78754,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13499088,2808 THRESH ROAD UNIT 2B,NA,Austin,Texas,United States
13202 STABLER DR,Dexter 3317 C left New - 2 Story SFR CONDOMINUM w/ 4 bedrooms 3 bathrooms attached 2 car garage covered entry porch and patio FFE: 683.84 Site Plan: SP-2021-0328C Site Plan Exp.: 01/09/27 Max Bld height: 30 Actual Bld height: 30-0 required parking: 2.,2025-04-21,1,2,13202 STABLER DR,78652,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13502655,13202 STABLER DRIVE,NA,Austin,Texas,United States
2802 RANCHERO RD UNIT A,NEW CONDO REGIME - DUPLEX UNIT #A TYPE 4 (C1) 3 BED 2 BATH,2025-03-31,1,2,2802 RANCHERO RD UNIT A,78754,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13491908,2802 RANCHERO ROAD UNIT A,NA,Austin,Texas,United States
5109 BROOKDALE LN,New single-story SFR (4br/2.5ba) with attached garage covered patio and screened porch,2025-04-07,1,1,5109 BROOKDALE LN,78723,4,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13493931,5109 BROOKDALE LANE,NA,Austin,Texas,United States
2703 THRESH RD UNIT A,NEW CONDO REGIME - DUPLEX UNIT #A  TYPE 3 (B0.1)  2 BED 2 BATH,2025-03-31,1,1,2703 THRESH RD UNIT A,78754,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13491964,2703 THRESH ROAD UNIT A,NA,Austin,Texas,United States
3310 BOWMAN AVE,ePlan: Residential Expedited Review - New construction of a 2-StorySingle Family Res. [5bed 5.5bath] with attached Garage and Carport.,2025-04-21,1,2,3310 BOWMAN AVE,78703,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13504429,3310 BOWMAN AVE,NA,Austin,Texas,United States
2708 RANCHERO RD UNIT 3A,NEW CONDO REGIME - BLDG #3 DUPLEX UNIT #3A TYPE 2 (A1) 1 BED 1 BATH.,2025-04-11,2,1,2708 RANCHERO RD UNIT 3A,78754,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13499545,2708 RANCHERO ROAD UNIT 3A,NA,Austin,Texas,United States
1804 WEBBERVILLE RD UNIT B,ePlan: Residential Expedited Review - New construction of a THREE-UNIT RES. UNIT B 1-Story [3bed 3bath],2025-04-16,1,1,1804 WEBBERVILLE RD UNIT B,78721,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13468836,1804 WEBBERVILLE ROAD UNIT B,NA,Austin,Texas,United States
1103 KINNEY AVE,New 2-story 1 bedroom 1 bathroom dwelling unit w/ attached accessory structure.,2025-04-03,1,2,1103 KINNEY AVE,78704,9,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13494675,1103 KINNEY AVE,NA,Austin,Texas,United States
11104 CROSSBEAM DR UNIT 2B,NEW CONDO REGIME - BLDG #2  DUPLEX UNIT #2B TYPE 4 (C1) 3 BED 2 BATH,2025-03-31,1,2,11104 CROSSBEAM DR UNIT 2B,78754,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13492149,11104 CROSSBEAM DRIVE UNIT 2B,NA,Austin,Texas,United States
3701 STEVENSON AVE Unit A,"ePlan: Residential Expedited Review - New construction of a Duplex. 
New construction of a 2-Story Duplex [3bed 3bath] and Autofill Pool w/SPA. Unit A 
New construction of a 2-Story Duplex [1bed 2bath] with attached Garage. Unit B)",2025-04-08,2,2,3701 STEVENSON AVE,78703,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13497700,3701 AVE, STEVENSON,Austin,Texas,United States
2704 RANCHERO RD UNIT 2A,NEW CONDO REGIME - BLDG #2 DUPLEX UNIT #2ATYPE 2 (A1)1 BED 1 BATH,2025-04-11,1,1,2704 RANCHERO RD UNIT 2A,78754,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13499487,2704 RANCHERO ROAD UNIT 2A,NA,Austin,Texas,United States
11104 CROSSBEAM DR UNIT 2A,NEW CONDO REGIME - BLDG #2  DUPLEX UNIT #2A  TYPE 4 (C1.1) 3 ED 2 BATH,2025-03-31,1,2,11104 CROSSBEAM DR UNIT 2A,78754,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13492148,11104 CROSSBEAM DRIVE UNIT 2A,NA,Austin,Texas,United States
10101 MILKY WAY DR,New two-story SFR (5br/6ba) with attached garage covered patio and covered deck *PRODUCTION BUILDER- CONDO*,2025-04-08,1,2,10101 MILKY WAY DR,78730,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13496365,10101 MILKY WAY DRIVE,NA,Austin,Texas,United States
3102 FONTANA DR BLDG 2,Build 2 New 3 Story Dwelling with covered porch 3/3.5,2025-04-10,1,3,3102 FONTANA DR BLDG 2,78704,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13483443,3102 FONTANA DRIVE BLDG 2,NA,Austin,Texas,United States
