project_name,description,issued_date,housing_units,number_of_floors,original_address_1,original_zip,council_district,completed_date,link,clean_address,clean_address_2,city,state,country
1205 IGNACIO TREVINO ST,new detached 2-story condo,2025-04-28,1,2,1205 IGNACIO TREVINO ST,78702,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13405946,1205 IGNACIO TREVINO STREET,NA,Austin,Texas,United States
2708 THRESH ROAD Unit A *VOLUME BUILDER- CONDO DUPLEX*,NEW CONDO REGIME - DUPLEX UNIT #A TYPE 4 (C1)3 BED 3 BATH  UNIT #B TYPE 4 (C1.1) 3 BED 2 BATH,2025-04-09,2,2,2708 THRESH RD UNIT A,78754,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13497892,2708 THRESH ROAD UNIT A,NA,Austin,Texas,United States
2707 THRESH RD UNIT A,NEW CONDO REGIME -  DUPLEX UNIT #A TYPE 4 (C1.1)3 BED 2 BATH,2025-03-31,1,2,2707 THRESH RD UNIT A,78754,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13491981,2707 THRESH ROAD UNIT A,NA,Austin,Texas,United States
11102 BELL FARM RD UNIT A,NEW CONDO REGIME -DUPLEX. UNIT #A: TYPE 2 (B0) 2 BED 2 BATH.,2025-03-31,1,1,11102 BELL FARM RD UNIT A,78754,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13491764,11102 BELL FARM ROAD UNIT A,NA,Austin,Texas,United States
1704 E 18TH ST,New 1-story 1 bedroom 1 bathroom secondary dwelling unit with covered front porch screened porch and storage loft.,2025-04-16,1,2,1704 E 18TH ST,78702,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13360481,1704 EAST 18TH STREET,NA,Austin,Texas,United States
11102 CROSSBEAM DR UNIT 2B,NEW CONDO REGIME - BLDG #2 DUPLEX. UNIT #2A: TYPE 2 (B0) 2 BED 2 BATH. UNIT #2B: TYPE 2 (A1) 1 BED 1 BATH,2025-04-17,2,1,11102 CROSSBEAM DR UNIT 2B,78754,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13501563,11102 CROSSBEAM DRIVE UNIT 2B,NA,Austin,Texas,United States
11101 BARNWOOD RD Unit A *VOLUME BUILDER- CONDO DUPLEX*,NEW CONDO REGIME - DUPLEX UNIT #A TYPE 1 (A1.1) 1 BED 1 BATH  UNIT #B TYPE 2 (A1)  1 BED 1 BATH,2025-04-09,2,1,11101 BARNWOOD RD UNIT A,78754,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13497958,11101 BARNWOOD ROAD UNIT A,NA,Austin,Texas,United States
11002 BELL FARM RD UNIT B,NEW CONDO REGIME -  DUPLEX UNIT #B TYPE 1 (A1) 1 BED 1 BATH,2025-03-31,1,1,11002 BELL FARM RD UNIT B,78754,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13492700,11002 BELL FARM ROAD UNIT B,NA,Austin,Texas,United States
2709 THRESH RD UNIT A,NEW CONDO REGIME - DUPLEX. UNIT #A :TYPE 2 (B0) 2 BED 2 BATH,2025-03-31,1,1,2709 THRESH RD UNIT A,78754,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13492164,2709 THRESH ROAD UNIT A,NA,Austin,Texas,United States
13209 STABLER DR,Galloway 3312 B Left New - 2 Story SFR CONDOMINUM w/ 3 bedrooms 2 bathrooms attached 2 car garage covered entry porch and patio FFE: 682.56 Site Plan: SP-2021-0328C Site Plan Exp.: 01/09/27 Max Bld height: 21-10 Actual Bld height: 21-10 required parking: 2.,2025-04-28,1,2,13209 STABLER DR,78652,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13504353,13209 STABLER DRIVE,NA,Austin,Texas,United States
2702 THRESH RD Unit A *VOLUME BUILDER- CONDO DUPLEX*,NEW CONDO REGIME - DUPLEX UNIT #A TYPE 1 (A1.1) 1 BED 1 BATH  UNIT #B TYPE 1 (A1) 1 BED 1 BATH,2025-04-09,2,1,2702 THRESH RD UNIT A,78754,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13497819,2702 THRESH ROAD UNIT A,NA,Austin,Texas,United States
2803 THRESH RD UNIT B,NEW CONDO REGIME - DUPLEX UNIT #B TYPE 3 (B0.1) 2 BED 2 BATH,2025-03-28,1,1,2803 THRESH RD UNIT B,78754,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13491697,2803 THRESH ROAD UNIT B,NA,Austin,Texas,United States
2803 THRESH RD UNIT A,NEW CONDO REGIME - DUPLEX UNIT #A TYPE 3 (B0) 2 BED 2 BATH,2025-03-28,1,1,2803 THRESH RD UNIT A,78754,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13491696,2803 THRESH ROAD UNIT A,NA,Austin,Texas,United States
11103 CROSSBEAM DR UNIT B,NEW CONDO REGIME -DUPLEX UNIT #B TYPE 4 (C1) 3 BED 2 BATH,2025-03-31,1,2,11103 CROSSBEAM DR UNIT B,78754,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13491938,11103 CROSSBEAM DRIVE UNIT B,NA,Austin,Texas,United States
11101 BELL FARM RD UNIT A,NEW CONDO REGIME - DUPLEX UNIT #A TYPE 3 (B0.1) 2 BED 2 BATH,2025-04-07,1,1,11101 BELL FARM RD UNIT A,78754,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13493800,11101 BELL FARM ROAD UNIT A,NA,Austin,Texas,United States
2804 THRESH RD UNIT B,NEW CONDO REGIME -  DUPLEX. UNIT #B: TYPE 2 (A1) 1 BED 1 BATH.,2025-04-07,1,1,2804 THRESH RD UNIT B,78754,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13493718,2804 THRESH ROAD UNIT B,NA,Austin,Texas,United States
2804 RANCHERO RD UNIT A,NEW CONDO REGIME - DUPLEX UNIT #A TYPE 3 (B0) 2 BED 2 BATH,2025-03-31,1,1,2804 RANCHERO RD UNIT A,78754,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13491849,2804 RANCHERO ROAD UNIT A,NA,Austin,Texas,United States
2804 RANCHERO RD UNIT B,NEW CONDO REGIME - DUPLEX UNIT #B TYPE 3 (B0.1) 2 BED 2 BATH,2025-03-31,1,1,2804 RANCHERO RD UNIT B,78754,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13491850,2804 RANCHERO ROAD UNIT B,NA,Austin,Texas,United States
4406 EILERS AVE,New 2-story 4 bedroom 3.5 bathroom single family residence with covered front porch and trelliss.,2025-04-08,1,2,4406 EILERS AVE,78751,9,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13487978,4406 EILERS AVE,NA,Austin,Texas,United States
2704 THRESH RD UNIT B,NEW CONDO REGIME - DUPLEX UNIT #A TYPE 1 (A1) 1 BED 1 BATH  UNIT #B TYPE 1 (A1.1) 1 BED 1 BATH,2025-04-11,2,1,2704 THRESH RD UNIT B,78754,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13499684,2704 THRESH ROAD UNIT B,NA,Austin,Texas,United States
2706 RANCHERO RD UNIT 1B,NEW CONDO REGIME - BLDG #1 DUPLEX UNIT # 1B TYPE 3 (B0.1) 2 BED 2 BATH,2025-03-31,1,1,2706 RANCHERO RD UNIT 1B,78754,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13492260,2706 RANCHERO ROAD UNIT 1B,NA,Austin,Texas,United States
2800 THRESH RD UNIT A,NEW CONDO REGIME - DUPLEX UNIT #A TYPE 4 (C1.1)3 BED 2 BATH,2025-04-07,1,2,2800 THRESH RD UNIT A,78754,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13493681,2800 THRESH ROAD UNIT A,NA,Austin,Texas,United States
11105 BELL FARM RD Unit A *VOLUME BUILDER- CONDO DUPLEX*,NEW CONDO REGIME - DUPLEX. UNIT #A: TYPE 3 (B0.1) 2 BED 2 BATH. UNIT #B: TYPE 3 (B0) 2 BED 2 BATH.,2025-04-09,2,1,11105 BELL FARM RD UNIT A,78754,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13498694,11105 BELL FARM ROAD UNIT A,NA,Austin,Texas,United States
1804 WEBBERVILLE RD UNIT C,ePlan: Residential Expedited Review - New construction of a THREE-UNIT RES. UNIT C 1-Story [4bed 3bath],2025-04-16,1,1,1804 WEBBERVILLE RD UNIT C,78721,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13468837,1804 WEBBERVILLE ROAD UNIT C,NA,Austin,Texas,United States
4705 DEPEW AVE,ePlan: Residential Expedited Review - New construction of a 3-Story Single Family Res. [3bed 2.5bath] with Attached Carport. 4705 Depew Ave,2025-04-09,1,3,4705 DEPEW AVE,78751,9,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13498006,4705 DEPEW AVE,NA,Austin,Texas,United States
4422 HANK AVE,BLDG 1: Front residence New 2 story detached residence with 3 bedroom 2.5 bathroom 1-car garage covered porch. Part of 3-unit use,2025-04-18,1,2,4422 HANK AVE,78745,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13503003,4422 HANK AVE,NA,Austin,Texas,United States
3701 STEVENSON AVE UNIT B,"ePlan: Residential Expedited Review - New construction of a Duplex. 
New construction of a 2-Story Duplex [3bed 3bath] and Autofill Pool w/SPA. Unit A 
New construction of a 2-Story Duplex [1bed 2bath] with attached Garage. Unit B)",2025-04-08,2,2,3701 STEVENSON AVE UNIT B,78703,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13497701,3701 AVE UNIT B, STEVENSON,Austin,Texas,United States
202 W 55TH ST,New construction of detached 2-story accessory structure 1.5 bath,2025-04-17,1,2,202 W 55TH ST,78751,4,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13501689,202 WEST 55TH STREET,NA,Austin,Texas,United States
2709 THRESH RD UNIT B,NEW CONDO REGIME - DUPLEX. UNIT#B:  TYPE 2 (A1) 1 BED 1 BATH.,2025-03-31,1,1,2709 THRESH RD UNIT B,78754,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13492165,2709 THRESH ROAD UNIT B,NA,Austin,Texas,United States
4412 S 1ST ST BLDG 3,Building 3:  New Construction of detached 2-story residence 3 bedroom 3.5 bath 1-car carport. Part of 3-unit use.,2025-04-15,1,2,4412 S 1ST ST BLDG 3,78745,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13498471,4412 SOUTH 1ST STREET BLDG 3,NA,Austin,Texas,United States
52 NAVASOTA ST--BLDG 1,ePlan: Residential Expedited Review - New construction of a 3-Story Single Family Res. [3bed 2.5bath] with attached Carport. 52 Navasota Bldg 1,2025-04-23,1,3,52 NAVASOTA ST BLDG 1,78702,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13494557,52 NAVASOTA STREET BLDG 1,NA,Austin,Texas,United States
10905 BELL FARM RD UNIT B,NEW CONDO REGIME - DUPLEX UNIT #B TYPE 3 (B0) 2 BED 2 BATH,2025-04-29,2,1,10905 BELL FARM RD UNIT B,78754,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13509674,10905 BELL FARM ROAD UNIT B,NA,Austin,Texas,United States
2609 CARNARVON LN UNIT A,ePlan: Residential Expedited Review - New Two Story Duplex Unit A 2-story [4bed 2.5bath],2025-04-17,1,2,2609 CARNARVON LN UNIT A,78704,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13501991,2609 CARNARVON LANE UNIT A,NA,Austin,Texas,United States
