project_name,description,issued_date,housing_units,number_of_floors,original_address_1,original_zip,council_district,completed_date,link,clean_address,clean_address_2,city,state,country,"gl(n(), chunk_size, length = n())"
12108 SAGRADA ST,1548BL NEW 3 BEDROOM 2 BATH SINGLE FAMILY RESIDENTIAL HOME WITH ATTACHED GARAGE COVERED FRONT PORCH AND REAR PATIO,2026-04-13,1,1,12108 SAGRADA ST,78748,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13684866,12108 SAGRADA STREET,NA,Austin,Texas,United States,1
8018 BIRD SONG CIR,New construction of 2 story duplex condo each with 3 beds 2.5 baths and attached garage (Unit B),2026-04-22,1,2,8018 BIRD SONG CIR,78745,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13690911,8018 BIRD SONG CIR,NA,Austin,Texas,United States,1
13220 KINCANE DR,1548BL NEW 1 STORY 3 BEDROOM 2 BATH SINGLE FAMILY RESIDENTIAL HOME WITH ATTACHED GARAGE COVERED FRONT PORCH AND REAR PATIO,2026-04-23,1,1,13220 KINCANE DR,78617,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13690948,13220 KINCANE DRIVE,NA,Austin,Texas,United States,1
7109 HUDKINS WAY,2245BL NEW 4 BEDROOM 3 BATH SINGLE FAMILY RESIDENTIAL HOME WITH ATTACHED GARAGE COVERED FRONT PORCHA AND REAR PATIO,2026-04-21,1,2,7109 HUDKINS WAY,78617,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13690154,7109 HUDKINS WAY,NA,Austin,Texas,United States,1
12604 SAINT THOMAS DR,Hughes 841-M-L Is a New one-story single family residence with (4) bedrooms (3) bathrooms an attached two-car garage and a covered entry porch & patio.,2026-04-25,1,1,12604 SAINT THOMAS DR,78617,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13692416,12604 SAINT THOMAS DRIVE,NA,Austin,Texas,United States,1
7416 PULLMAN CV,Dawson S351 A Right New - 1 Story SFR w/ 3 bedrooms 2 bathrooms attached 2 car garage covered entry porch and patio required parking: 2.,2026-04-16,1,1,7416 PULLMAN CV,78747,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13687479,7416 PULLMAN CV,NA,Austin,Texas,United States,1
3718 MENCHACA RD,"UNIT 301 - New 3 story with attached garage office and roof top. 3/3.5 
Revision 1: Revisions to exterior building materials.",2026-03-30,1,3,3718 MENCHACA RD,78704,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12942314,3718 MENCHACA ROAD,NA,Austin,Texas,United States,1
12600 SAINT THOMAS DR,Winedale 880-M-L Is a New two-story single family residence with (5) bedrooms (3) bathrooms an attached two-car garage and a covered entry porch and patio.,2026-04-25,1,2,12600 SAINT THOMAS DR,78617,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13692381,12600 SAINT THOMAS DRIVE,NA,Austin,Texas,United States,1
12425 SAINT THOMAS DR,Cascade 330-T-R Is a New one-story single family residence with (3) bedrooms (2) bathrooms an attached two-car garage and a covered entry porch and patio.,2026-04-21,1,1,12425 SAINT THOMAS DR,78617,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13688901,12425 SAINT THOMAS DRIVE,NA,Austin,Texas,United States,1
12520 SAINT THOMAS DR,Hughes 841-N-R Is a New one-story single family residence with (4) bedrooms (3) bathrooms an attached two-car garage and a covered entry porch and patio.,2026-04-25,1,1,12520 SAINT THOMAS DR,78617,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13692357,12520 SAINT THOMAS DRIVE,NA,Austin,Texas,United States,1
4706 NATIVE PEARL LN,New construction of SFR with  5 bedrooms and 3 bathrooms. attached garage and covered patio,2026-04-03,1,2,4706 NATIVE PEARL LN,78754,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13680481,4706 NATIVE PEARL LANE,NA,Austin,Texas,United States,1
4708 CASWELL AVE BLDG 1,Bldg 1: NEW SINGLE-FAMILY WOOD FRAME RESIDENCE WITH 4 BEDROOMS AND 4.5 BATHROOMS.,2026-04-21,1,2,4708 CASWELL AVE BLDG 1,78751,9,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13676911,4708 CASWELL AVE BLDG 1,NA,Austin,Texas,United States,1
5910 ROTUNDA VW,New two-story SFR *PRODUCTION BUILDER- SMART HOUSING / GREEN BUILDING*,2026-04-15,1,2,5910 ROTUNDA VW,78747,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13686435,5910 ROTUNDA VW,NA,Austin,Texas,United States,1
4704 PHILCO DR,ePlan: Residential Expedited Review - New construction of a 2-Story Single Family Res. [5bed 4bath] with Attached Porch and Attached Carport.,2026-04-20,1,2,4704 PHILCO DR,78745,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13689032,4704 PHILCO DRIVE,NA,Austin,Texas,United States,1
8801 GOLDEN LION DR,"New SFR 2- Story 3 bedroom 3 bath with attached 2-car garage covered front porch and covered rear patio

PUD",2026-04-16,1,2,8801 GOLDEN LION DR,78744,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13686275,8801 GOLDEN LION DRIVE,NA,Austin,Texas,United States,1
5505 SHOAL CREEK BLVD,New construction of a 2-Story Single Family Res. [4bed 3.5bath] with Attached Garage.,2026-04-20,1,2,5505 SHOAL CREEK BLVD,78756,7,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13592115,5505 SHOAL CREEK BOULEVARD,NA,Austin,Texas,United States,1
10937 TALLSALT DR,New 2-story 5 bedroom 3 bathroom single family residence with attached garage covered front porch and rear covered patio.,2026-04-10,1,2,10937 TALLSALT DR,78754,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13683540,10937 TALLSALT DRIVE,NA,Austin,Texas,United States,1
12412 SAINT THOMAS DR,Callahan 830-O-R Is a New one-story single family residence with (4) bedrooms (2) bathrooms an attached two-car garage and a covered entry porch and patio.,2026-04-28,1,1,12412 SAINT THOMAS DR,78617,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13693110,12412 SAINT THOMAS DRIVE,NA,Austin,Texas,United States,1
9617 BREEZE HILL DR,"New construction of 2 story sfr with 4 beds 4.5 baths attached 2 car garage with covered porch and patio

PUD",2026-04-01,1,2,9617 BREEZE HILL DR,78744,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13677703,9617 BREEZE HILL DRIVE,NA,Austin,Texas,United States,1
11018 MONUMENT VALLEY DR,New construction single-family residential 1-story 3 bedroom 2 bath with attached 2-car garage covered front porch and covered rear patio.,2026-04-09,1,1,11018 MONUMENT VALLEY DR,78754,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13683465,11018 MONUMENT VALLEY DRIVE,NA,Austin,Texas,United States,1
12417 SAINT THOMAS DR,Briscoe 820-Q-L Is a New one-story single family residence with (3) bedrooms (2) bathrooms an attached two-car garage and a covered entry porch and patio.,2026-04-21,1,1,12417 SAINT THOMAS DR,78617,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13688888,12417 SAINT THOMAS DRIVE,NA,Austin,Texas,United States,1
8925 PALLAS CAT DR,*Green Building* New 1-story 4 bedroom 3 bathroom single family residence with attached garage covered front porch and rear covered patio.,2026-04-15,1,1,8925 PALLAS CAT DR,78744,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13686162,8925 PALLAS CAT DRIVE,NA,Austin,Texas,United States,1
11004 TALLSALT DR,*PB* New Construction- New single family residence 4bed 2.5 bath,2026-04-09,1,1,11004 TALLSALT DR,78754,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13682702,11004 TALLSALT DRIVE,NA,Austin,Texas,United States,1
1310 AGGIE LN BLDG 2,ePlan: Residential Expedited Review - New construction of a 1-Story Single Family Res. [3bed 2bath] with Attached Garage.,2026-04-20,1,1,1310 AGGIE LN BLDG 2,78757,7,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13689307,1310 AGGIE LANE BLDG 2,NA,Austin,Texas,United States,1
1905 ROBINHOOD TRL UNIT B,ePlan: Residential Expedited Review - New Duplex Unit 2 New construction of a 2-Story SF Res [1bed bath] with attached Garage,2026-03-30,1,2,1905 ROBINHOOD TRL UNIT B,78703,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13667488,1905 ROBINHOOD TRAIL UNIT B,NA,Austin,Texas,United States,1
1307 PEREZ ST UNIT B,"Interior remodel of existing SFR
Interior remodel to create dwelling Unit B",2026-04-07,2,2,1307 PEREZ ST UNIT B,78721,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13669169,1307 PEREZ STREET UNIT B,NA,Austin,Texas,United States,1
1602 CANTERBURY ST,ePlan: Residential Expedited Review - New construction of a 2-Story Small Lot Single Family Res. [3bed 3.5bath] with Attached Carport.,2026-03-30,1,2,1602 CANTERBURY ST,78702,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13674865,1602 CANTERBURY STREET,NA,Austin,Texas,United States,1
8016 BIRD SONG CIR,New construction of 2 story duplex condo each with 3 beds 2.5 baths and attached garage (Unit A),2026-04-22,1,2,8016 BIRD SONG CIR,78745,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13690910,8016 BIRD SONG CIR,NA,Austin,Texas,United States,1
3001 GOODWIN AVE BLDG 3,New construction of three story sfr with attached garage 3.5 baths and 2 bedrooms,2026-03-24,1,3,3001 GOODWIN AVE BLDG 3,78702,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13540346,3001 GOODWIN AVE BLDG 3,NA,Austin,Texas,United States,1
2712 E 22ND ST BLDG 2,ePlan: Residential Expedited Review - New construction of a 2-Story Single Family Res. [4bed 3bath] with Attached Garage. Bldg 2,2026-03-30,1,2,2712 E 22ND ST BLDG 2,78722,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13673372,2712 EAST 22ND STREET BLDG 2,NA,Austin,Texas,United States,1
11739 D K RANCH RD BLDG 2,Add a second dwelling unit to an existing single-family lot with updated address 11739 D-K Ranch Rd. Building 2 See address validation letter from Addressing Services.,2026-04-16,1,1,11739 D K RANCH RD BLDG 2,78759,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13646112,11739 D K RANCH ROAD BLDG 2,NA,Austin,Texas,United States,1
10933 TALLSALT DR,New single family residence,2026-04-10,1,1,10933 TALLSALT DR,78754,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13683514,10933 TALLSALT DRIVE,NA,Austin,Texas,United States,1
9209 CALVERT WAY,New Construction- 2 story SFR 5bed 4.5bath with attached garage and covered porch patio,2026-04-17,1,2,9209 CALVERT WAY,78744,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13688302,9209 CALVERT WAY,NA,Austin,Texas,United States,1
1137 WEBBERVILLE RD BLDG 1,New 3-story 3 bedroom 3 bathroom dwelling unit with attached carport covered porches 2nd floor screened porch 2nd floor partially covered balcony 3rd floor partially covered balcony and roof deck.,2026-04-11,1,3,1137 WEBBERVILLE RD BLDG 1,78721,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13583341,1137 WEBBERVILLE ROAD BLDG 1,NA,Austin,Texas,United States,1
11208 ZIP COCHISE WAY,"New construction of 2 story SFR with 4 beds 2.5 baths opt gourmet kitchen opt ext cov patio cov patio porch and 2 car garage

PUD",2026-04-23,1,2,11208 ZIP COCHISE WAY,78653,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13691777,11208 ZIP COCHISE WAY,NA,Austin,Texas,United States,1
11014 MONUMENT VALLEY DR,New construction of SFR,2026-04-06,1,2,11014 MONUMENT VALLEY DR,78754,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13680943,11014 MONUMENT VALLEY DRIVE,NA,Austin,Texas,United States,1
10925 TALLSALT DR,New construction of SFR with  4 bedroom and 2.5 bathrooms. attached garage.,2026-04-03,1,1,10925 TALLSALT DR,78754,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13680424,10925 TALLSALT DRIVE,NA,Austin,Texas,United States,1
7432 PULLMAN CV,Armstrong S357 D Left New - 2 Story SFR w/ 5 bedrooms 3 bathrooms attached 2 car garage covered entry porch and patio required parking: 2.,2026-04-16,1,2,7432 PULLMAN CV,78747,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13687531,7432 PULLMAN CV,NA,Austin,Texas,United States,1
9413 BUCKSTITCH SADDLE DR,New 1-story single family residence 4 bed/3 bath with attached garage covered porch and patio Green Building,2026-04-07,1,1,9413 BUCKSTITCH SADDLE DR,78724,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13679076,9413 BUCKSTITCH SADDLE DRIVE,NA,Austin,Texas,United States,1
5224 RAGWEED DR,Monroe 2191-LS203-L New 2-Story Single Family Residence with (4) bedrooms (3) bathrooms Attached Garage Covered Patio & Porch Cafe & Loft,2026-04-24,1,2,5224 RAGWEED DR,78653,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13692378,5224 RAGWEED DRIVE,NA,Austin,Texas,United States,1
1705 BARN SWALLOW DR,ePlan: Residential Expedited Review - New construction of a 2-Story Single Family Res. [5bed 5.5bath] with Attached Garage.,2026-03-24,1,2,1705 BARN SWALLOW DR,78746,8,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13674919,1705 BARN SWALLOW DRIVE,NA,Austin,Texas,United States,1
8615 DONGAN DR,New two-story SFR (5br/4ba) with attached garage covered porch and covered patio,2026-04-23,1,2,8615 DONGAN DR,78744,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13690570,8615 DONGAN DRIVE,NA,Austin,Texas,United States,1
10941 TALLSALT DR,New construction single-family residential 1-story 3 bedroom 2 bath with attached 2-car garage covered front porch and covered rear patio.,2026-04-09,1,1,10941 TALLSALT DR,78754,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13683445,10941 TALLSALT DRIVE,NA,Austin,Texas,United States,1
1141 WEBBERVILLE RD BLDG 1,New 3-story 4 bedroom 4.5 bathroom dwelling unit with covered porches uncovered wood deck 2nd floor covered balcony 3rd floor screened porch and 3rd floor partially covered balcony.,2026-04-07,1,3,1141 WEBBERVILLE RD BLDG 1,78721,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13595304,1141 WEBBERVILLE ROAD BLDG 1,NA,Austin,Texas,United States,1
4804 BRIDWELL LN,New single-family residence 3 bedrooms 2.5 bathrooms. attached garage and covered patio,2026-04-13,1,2,4804 BRIDWELL LN,78754,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13684318,4804 BRIDWELL LANE,NA,Austin,Texas,United States,1
7420 PULLMAN CV,Eastland S352 C Left New - 1 Story SFR w/ 4 bedrooms 2 bathrooms attached 2 car garage covered entry porch and patio required parking: 2.,2026-04-27,1,1,7420 PULLMAN CV,78747,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13692071,7420 PULLMAN CV,NA,Austin,Texas,United States,1
1141 WEBBERVILLE RD BLDG 2,New 2-story 1 bedroom 1 bathroom dwelling unit with attached carport covered porch and 2nd floor covered balcony.,2026-04-07,1,2,1141 WEBBERVILLE RD BLDG 2,78721,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13595305,1141 WEBBERVILLE ROAD BLDG 2,NA,Austin,Texas,United States,1
8111 PEERLESS PASS,"New construction of single family dwelling with 3 bedrooms and 2.5 baths 2 car garage rear patio and front porch

PUD",2026-03-27,1,2,8111 PEERLESS PASS,78744,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13675107,8111 PEERLESS PASS,NA,Austin,Texas,United States,1
5603 RIDGE OAK DR,Construction of new wood-framed SFR 4 bed 3.5 bath with basement attached garage and rear covered patio/balcony,2026-03-25,1,2,5603 RIDGE OAK DR,78731,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13667907,5603 RIDGE OAK DRIVE,NA,Austin,Texas,United States,1
919 TILLERY ST--BLDG 2,ePlan: Residential Expedited Review - New construction of a 3-Story Single Family Res. [4bed 3.5bath] with Attached Carport. Bldg 2,2026-03-24,1,3,919 TILLERY ST BLDG 2,78702,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13669912,919 TILLERY STREET BLDG 2,NA,Austin,Texas,United States,1
5913 ROTUNDA VW,New two-story SFR *PRODUCTION BUILDER- SMART HOUSING / GREEN BUILDING*,2026-04-10,1,2,5913 ROTUNDA VW,78747,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13683957,5913 ROTUNDA VW,NA,Austin,Texas,United States,1
5413 HUDSON ST,New single story SFR. 3 bed/2 bath with attached garage and covered front porch.,2026-04-09,1,1,5413 HUDSON ST,78721,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13617272,5413 HUDSON STREET,NA,Austin,Texas,United States,1
11012 MONUMENT VALLEY DR,New construction of SFR,2026-04-06,1,1,11012 MONUMENT VALLEY DR,78754,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13680968,11012 MONUMENT VALLEY DRIVE,NA,Austin,Texas,United States,1
4511 VINSON DR BLDG 1,Lot 1 - New construction two-family residential duplex 2-story 3 bedroom (both units) 2.5 bath (both units) with attached 1-car garage (both units) covered front porch (both units) and covered rear patio (both units).,2026-04-03,2,2,4511 VINSON DR BLDG 1,78745,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12761273,4511 VINSON DRIVE BLDG 1,NA,Austin,Texas,United States,1
9405 BUCKSTITCH SADDLE DR,"New construction of 1 story SFR attached garage covered porch and patio

PUD",2026-04-17,1,1,9405 BUCKSTITCH SADDLE DR,78724,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13688336,9405 BUCKSTITCH SADDLE DRIVE,NA,Austin,Texas,United States,1
9320 FURMAN DR,Moscoso S423 B Left New - 1 Story SFR w/ 3 bedrooms 2 bathrooms attached 2 car garage covered entry porch and patio required parking: 2.,2026-04-27,1,1,9320 FURMAN DR,78747,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13688149,9320 FURMAN DRIVE,NA,Austin,Texas,United States,1
8109 ERMIS FARM RD,New construction of a 2-story single family dwelling in a condo regime. Both units are part of the duplex. Both units have 3 bedroom 2.5 bath with 2 car garage.,2026-04-20,1,2,8109 ERMIS FARM RD,78745,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13688063,8109 ERMIS FARM ROAD,NA,Austin,Texas,United States,1
5908 ROTUNDA VW,3-bed 2.5-bath. Single Family Attached garage and cover porch patio SMART Housing 3/2.5,2026-04-08,1,2,5908 ROTUNDA VW,78747,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13682057,5908 ROTUNDA VW,NA,Austin,Texas,United States,1
4908 BRIDWELL LN,PB: New construction of 2 story SFR 5 bed 3 bath with attached garage and front covered porch/rear covered patio,2026-03-24,1,2,4908 BRIDWELL LN,78754,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13673494,4908 BRIDWELL LANE,NA,Austin,Texas,United States,1
5906 ROTUNDA VW,*SMART Housing* *Green Building* New 2-story 3 bedroom 2.5 bathroom rowhouse with covered front porch.,2026-04-08,1,2,5906 ROTUNDA VW,78747,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13680488,5906 ROTUNDA VW,NA,Austin,Texas,United States,1
1137 WEBBERVILLE RD BLDG 2,New 3-story 2 bedroom 2.5 bathroom dwelling unit with attached carport covered porch 2nd floor screened porch 2nd floor covered balcony 3rd floor partially covered balcony and roof deck.,2026-04-11,1,3,1137 WEBBERVILLE RD BLDG 2,78721,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13583342,1137 WEBBERVILLE ROAD BLDG 2,NA,Austin,Texas,United States,1
2206 WHITE HORSE TRL,ePlan: Residential Expedited Review - New construction of a 2 story single family residence with third floor habitable attic 6 bedroom 4.5 bathroom covered porch & uncovered deck.,2026-04-25,1,3,2206 WHITE HORSE TRL,78757,7,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13619632,2206 WHITE HORSE TRAIL,NA,Austin,Texas,United States,1
5321 DOWNS DR,ePlan: Residential Expedited Review - New construction of a 2-Story Single Family Res. [3bed 3bath] with Attached Garage and Carport.,2026-04-02,1,2,5321 DOWNS DR,78721,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13679196,5321 DOWNS DRIVE,NA,Austin,Texas,United States,1
8825 BREEZE HILL DR,New construction single-family residential 4 bedroom 4.5 bath with attached 2-car garage covered porch and covered patio.,2026-04-18,1,2,8825 BREEZE HILL DR,78744,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13688679,8825 BREEZE HILL DRIVE,NA,Austin,Texas,United States,1
7923 BROCKMAN ST,New 2-story 3 bedroom 2.5 bathroom dwelling unit with attached garage covered front porch and rear covered patio.,2026-03-30,1,2,7923 BROCKMAN ST,78757,4,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13669638,7923 BROCKMAN STREET,NA,Austin,Texas,United States,1
7425 PULLMAN CV,Donley S355 B Left New - 2 Story SFR w/ 4 bedrooms 2.5 bathrooms attached 2 car garage covered entry porch and patio required parking: 2.,2026-04-16,1,2,7425 PULLMAN CV,78747,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13687506,7425 PULLMAN CV,NA,Austin,Texas,United States,1
8820 BREEZE HILL DR,"New SFR 2- Story 3 bedroom 2.5 bath with attached 2-car garage covered front porch and covered rear patio

PUD",2026-03-27,1,2,8820 BREEZE HILL DR,78744,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13675926,8820 BREEZE HILL DRIVE,NA,Austin,Texas,United States,1
1101 ETERNITY TER,ePlan: Residential Expedited Review - New construction of a 2-Story Single Family Res. [5bed 5.5bath] with Attached Garage,2026-03-25,1,2,1101 ETERNITY TER,78746,8,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13674823,1101 ETERNITY TER,NA,Austin,Texas,United States,1
1167 NICKOLS AVE BLDG 2,Building 2 2 Story SFR with 3 bedrooms and 2.5 baths,2026-04-09,1,2,1167 NICKOLS AVE BLDG 2,78721,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13653561,1167 NICKOLS AVE BLDG 2,NA,Austin,Texas,United States,1
10304 CURB STRAP DR,PB: New construction of 1 story SFR 4 bed 2 bath with attached garage,2026-03-30,1,1,10304 CURB STRAP DR,78724,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13561109,10304 CURB STRAP DRIVE,NA,Austin,Texas,United States,1
8012 BIRD SONG CIR,New construction of 2 story duplex condo each with 3 beds 2.5 baths and attached garage (Unit A),2026-04-22,1,2,8012 BIRD SONG CIR,78745,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13690894,8012 BIRD SONG CIR,NA,Austin,Texas,United States,1
8813 PEDAL BOAT DR,New construction single-family residential 1-story 4 bedroom 3 bath with attached 2-car garage covered front porch and covered rear patio.,2026-04-09,1,1,8813 PEDAL BOAT DR,78744,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13682806,8813 PEDAL BOAT DRIVE,NA,Austin,Texas,United States,1
1167 NICKOLS AVE UNIT 1B,Building 1B New construction of two-unit residential homes. 2 Bedroom 2.5 Baths with CP,2026-04-09,1,3,1167 NICKOLS AVE UNIT 1B,78721,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13653560,1167 NICKOLS AVE UNIT 1B,NA,Austin,Texas,United States,1
605 E 55TH ST BLDG 6,"*Type 2 RESIDENTIAL AFFORDABLE HOUSING DEVELOPMENT BONUS PROGRAM* 
ePlan: Residential Expedited Review - New construction of a 3-Story Single Family Res. [2bed 2.5bath]. Bldg 6",2026-03-24,1,3,605 E 55TH ST BLDG 6,78751,4,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13673469,605 EAST 55TH STREET BLDG 6,NA,Austin,Texas,United States,1
919 TILLERY ST--BLDG 3,ePlan: Residential Expedited Review - New construction of a 3-Story Single Family Res. [4bed 3.5bath] with Attached Carport. Bldg 3,2026-03-24,1,3,919 TILLERY ST BLDG 3,78702,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13669913,919 TILLERY STREET BLDG 3,NA,Austin,Texas,United States,1
9500 BUCKSTITCH SADDLE DR,New 1-story singe family residence 4 bed/2 bath attached garage covered porch and patio Green Building,2026-04-02,1,1,9500 BUCKSTITCH SADDLE DR,78724,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13679102,9500 BUCKSTITCH SADDLE DRIVE,NA,Austin,Texas,United States,1
8111 ELIJAH CRAIG WAY,New construction of 2 story SFR 4 bedroom and 3.5 bathrooms with covered porch and patio and attached garage,2026-04-01,1,2,8111 ELIJAH CRAIG WAY,78744,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13676713,8111 ELIJAH CRAIG WAY,NA,Austin,Texas,United States,1
9612 GOLDEN LION DR,New two-story SFR (4br/3.5ba) with attached garage porch and covered patio *PRODUCTION BUILDER- GREEN BUILDING*,2026-04-24,1,2,9612 GOLDEN LION DR,78744,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13691801,9612 GOLDEN LION DRIVE,NA,Austin,Texas,United States,1
