project_name,description,issued_date,housing_units,number_of_floors,original_address_1,original_zip,council_district,completed_date,link,clean_address,clean_address_2,city,state,country,"gl(n(), chunk_size, length = n())"
4809 Red River St,New Sf Residence W/ CovD Patio CovD Porch,2004-05-10,1,2,4809 RED RIVER ST,78751,9,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=708726,4809 RED RIVER STREET,NA,Austin,Texas,United States,3
5005 Beverly Skyline,New Detached Garage,2004-06-15,0,1,5005 BEVERLY SKYLINE,78731,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=710045,5005 BEVERLY SKYLINE,NA,Austin,Texas,United States,3
7205 Doswell Ln,New Sf Residence W/ Attached Garage CovD Patio CovD Porch,2004-06-01,1,2,7205 DOSWELL LN,78739,8,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=710084,7205 DOSWELL LANE,NA,Austin,Texas,United States,3
11317 Robert Wooding Dr,New Two Story Res W/Att Garage Covered Porch & Uncovered Patio (S.M.A.R.T. Housing Project),2004-05-13,NA,2,11317 ROBERT WOODING DR,78748,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=710099,11317 ROBERT WOODING DRIVE,NA,Austin,Texas,United States,3
2008 National Park Blvd,New One Story Res W/Att Garage Covered Patio & Porch,2004-05-06,NA,1,2008 NATIONAL PARK BLVD,78747,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=709837,2008 NATIONAL PARK BOULEVARD,NA,Austin,Texas,United States,3
7100 Mountain Trl,New Sf Residence W/ Attached Garage CovD Patio CovD Porch-Septic,2004-01-16,1,2,7100 MOUNTAIN TRL,78732,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=706101,7100 MOUNTAIN TRAIL,NA,Austin,Texas,United States,3
10701 LOCH NESS CV,New Two Story Workshop/Guesthouse ( 1st Fl Storage/Workshop & 2nd Fl Guesthouse),2004-01-15,NA,NA,10701 LOCH NESS CV,78750,6,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=706277,10701 LOCH NESS CV,NA,Austin,Texas,United States,3
4000 Vineland Drive                A  00000,Two Story Duplex W/Att Garage & Porches,1997-08-15,2,2,4000 VINELAND DR,78722,9,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=648661,4000 VINELAND DRIVE,NA,Austin,Texas,United States,3
7105 TANAQUA LN,New Two Story Sf Res W/Att Garage Breezeway & CovRd Patio,2006-09-12,1,2,7105 TANAQUA LN,78739,8,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=735562,7105 TANAQUA LANE,NA,Austin,Texas,United States,3
3700 AGAPE LN,New 2 Story Sf Res. Att Garage Breezeway Covd Porch Covd Patio.,2006-09-19,1,2,3700 AGAPE LN,78735,8,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=763383,3700 AGAPE LANE,NA,Austin,Texas,United States,3
1036 Liberty Park Dr Bldg 15,New 2 Story Sf Res. Att Garage Covd Porch Covd Patio.,2006-09-13,1,2,1036 LIBERTY PARK DR BLDG 15,78746,8,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=738330,1036 LIBERTY PARK DRIVE BLDG 15,NA,Austin,Texas,United States,3
7605 Cayenne Ln,New 1 Story S.F. Residence W/Attached Garage CovD Patio & CovD Porch.  *S.M.A.R.T Housing*,2006-09-18,1,1,7605 CAYENNE LN,78741,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=736546,7605 CAYENNE LANE,NA,Austin,Texas,United States,3
7412 Wisteria Valley Dr,New 2-Sty Hm W/Att Garage W/ CovD Porch**Stratus Bank Bldg. Fee Waived Not Trades***,2006-09-11,1,2,7412 WISTERIA VALLEY DR,78739,8,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=740183,7412 WISTERIA VALLEY DRIVE,NA,Austin,Texas,United States,3
7500 Wisteria Valley Dr,New One-Story Sf Home Attached Garage Covered Porches And Patios.*Stratus Credit Bank Only Bldg Waived**,2006-08-22,1,1,7500 WISTERIA VALLEY DR,78739,8,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=735622,7500 WISTERIA VALLEY DRIVE,NA,Austin,Texas,United States,3
7529 Jaborandi Dr,New 2-Story Sf Res W/ Attached  Garage CovD Patio & CovD Porch.*Stratus Bank Bldg. Waived Not Trades**,2006-09-07,1,2,7529 JABORANDI DR,78739,8,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=733870,7529 JABORANDI DRIVE,NA,Austin,Texas,United States,3
15232 Interlachen Dr,New Two-Story Sf Res W/Attached Garage Covered Porches And Patios. Dw And Sw ReqD. (See 2006-024194),2006-08-29,1,2,15232 INTERLACHEN DR,78717,6,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=735382,15232 INTERLACHEN DRIVE,NA,Austin,Texas,United States,3
5601 Agatha Cir,New 2 Story Sf Res. Att Carport. **Smart Housing**,2006-08-24,1,2,5601 AGATHA CIR,78724,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=735160,5601 AGATHA CIR,NA,Austin,Texas,United States,3
8918 East Dr,"VOID REFER TO 2013-010147RM
 Convert Existing Garage To A  Detached Accessory Dwelling (Ldc-25-2-893-E)",2004-06-14,2,1,8918 EAST DR,78753,4,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=705243,8918 EAST DRIVE,NA,Austin,Texas,United States,3
909 W 30th St,New Detached Two Family Residence (Ldc 25-2-774),2004-05-14,NA,NA,909 W 30TH ST,78705,9,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=709589,909 WEST 30TH STREET,NA,Austin,Texas,United States,3
2943 Moss St,New Detached Apt. For Secondary Apt (25-2-1463),2004-05-07,1,1,2943 MOSS ST,78722,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=709028,2943 MOSS STREET,NA,Austin,Texas,United States,3
409 W Mary St,"New Sf Residence W/ CovD Patio CovD Porch

**Refer to pmt # 2008-051170 for New Res.**",2004-06-01,1,2,409 W MARY ST,78704,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=711345,409 WEST MARY STREET,NA,Austin,Texas,United States,3
1705 HOLLY ST,New  1st & 2nd Sty Secondary Apartment (Ldc 25-2-1463),2004-06-11,NA,NA,1705 HOLLY ST,78702,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=710424,1705 HOLLY STREET,NA,Austin,Texas,United States,3
14509 Ridgetop Ter,Detached Accessory Dwelling,2004-06-02,2,1,14509 RIDGETOP TER,78732,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=710145,14509 RIDGETOP TER,NA,Austin,Texas,United States,3
1820 Petrified Forest Dr,New Sf Residence W/ Attached Garage CovD Patio CovD Porch,2004-05-06,1,2,1820 PETRIFIED FOREST DR,78747,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=709056,1820 PETRIFIED FOREST DRIVE,NA,Austin,Texas,United States,3
15300 Morgan Creek Ct,New Two Story Res W/Att Garage Covered Porch & Uncovered Patio,2004-05-20,NA,2,15300 MORGAN CREEK CT,78717,6,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=712677,15300 MORGAN CREEK CT,NA,Austin,Texas,United States,3
11401 Bastian Cv,New One Story Res W/Att Garage Covered Patio & Porch,2004-06-15,NA,1,11401 BASTIAN CV,78739,8,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=710307,11401 BASTIAN CV,NA,Austin,Texas,United States,3
