project_name,description,issued_date,housing_units,number_of_floors,original_address_1,original_zip,council_district,completed_date,link,clean_address,clean_address_2,city,state,country,gl_n_chunk_size_length_n,geocodio_latitude,geocodio_longitude,geocodio_accuracy_score,geocodio_accuracy_type,geocodio_address_line_1,geocodio_address_line_2,geocodio_address_line_3,geocodio_address_line_4,geocodio_house_number,geocodio_street,geocodio_unit_type,geocodio_unit_number,geocodio_city,geocodio_state_province,geocodio_nation,geocodio_county,geocodio_postal_code,geocodio_country,geocodio_building_name,geocodio_source,geocodio_stable_address_key,geocodio_match_type
2805 BONNIE RD BLDG 1,BLDG 1: New construction of a 2-Story Duplex unit [5 bed 5bath] with attached 3-car garage & covered patio.,2026-01-12,1,2,2805 BONNIE RD BLDG 1,78703,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13630959,2805 BONNIE ROAD BLDG 1,NA,Austin,Texas,United States,1,30.292122,-97.773075,1,rooftop,2805 Bonnie Rd,Bldg 1,"Austin, TX 78703",NA,2805,Bonnie Rd,Bldg,1,Austin,TX,NA,Travis County,78703,US,NA,City of Austin (Public Domain),gcod_usnxl6nkdcb9f7227hjeusnpxa995-nc7t85835vbgc,building_centroid
7414 GUADALUPE ST BLDG 1,Bldg 1: New construction 3-unit use single-family residential 3-story 4 bedroom 3.5 bath with attached 1-car carport covered front porch covered rear patio and 3rd floor balcony.,2026-02-07,1,3,7414 GUADALUPE ST BLDG 1,78752,4,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13651374,7414 GUADALUPE STREET BLDG 1,NA,Austin,Texas,United States,1,30.340042,-97.713244,1,rooftop,7414 Guadalupe St,Bldg 1,"Austin, TX 78752",NA,7414,Guadalupe St,Bldg,1,Austin,TX,NA,Travis County,78752,US,NA,City of Austin (Public Domain),gcod_usncpfpgxypqmsggnsqd2amzzkma5-evk9fxvx7gqfc,building_centroid
9213 DINGO DR,New single-family residence 5 bedroom/5.5 bathrooms attached garage covered patio and porch,2026-01-22,1,2,9213 DINGO DR,78744,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13640821,9213 DINGO DRIVE,NA,Austin,Texas,United States,1,30.140995,-97.710721,1,rooftop,9213 Dingo Dr,NA,"Austin, TX 78744",NA,9213,Dingo Dr,NA,NA,Austin,TX,NA,Travis County,78744,US,NA,City of Austin (Public Domain),gcod_usn7cem4c4sfshp7x29ctdmln3u52,building_centroid
6111 LANDSCAPE DR,New mobile home,2026-01-08,1,1,6111 LANDSCAPE DR,78735,8,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13634225,6111 LANDSCAPE DRIVE,NA,Austin,Texas,United States,1,30.247229,-97.880313,1,rooftop,6111 Landscape Dr,NA,"Austin, TX 78735",NA,6111,Landscape Dr,NA,NA,Austin,TX,NA,Travis County,78735,US,NA,City of Austin (Public Domain),gcod_usnzcag2pesrw78bg2rcqumqfw5p3,building_centroid
5001 PECAN SPRINGS RD BLDG 30,New 3 story SFR Condo with 2 car garage 3 beds 3.5 baths covered patio 2nd floor balcony,2026-01-28,1,3,5001 PECAN SPRINGS RD BLDG 30,78723,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13646616,5001 PECAN SPRINGS ROAD BLDG 30,NA,Austin,Texas,United States,1,30.294255,-97.681378,1,rooftop,5001 Pecan Springs Rd,Bldg 30,"Austin, TX 78723",NA,5001,Pecan Springs Rd,Bldg,30,Austin,TX,NA,Travis County,78723,US,NA,City of Austin (Public Domain),gcod_usn8pv8mxsffklhfg7swb46v74na2-hncjvac3yr2yg,building_centroid
4500 BRIDAL VEIL DR,Sheldon S403 C Right New - 2 Story SFR w/ 3 bedrooms 2.5 bathrooms attached 2 car garage covered entry porch and patio required parking: 2.,2026-01-28,1,2,4500 BRIDAL VEIL DR,78747,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13645715,4500 BRIDAL VEIL DRIVE,NA,Austin,Texas,United States,1,30.12566,-97.793125,1,rooftop,4500 Bridal Veil Dr,NA,"Austin, TX 78747",NA,4500,Bridal Veil Dr,NA,NA,Austin,TX,NA,Travis County,78747,US,NA,City of Austin (Public Domain),gcod_usnjpldmr4jkccg7dr9tdymat7es2,building_centroid
7709 LONG POINT DR,New 1-story 4 bedroom 4.5 bathroom single family residence with attached garage screened patio and covered porches.,2026-01-29,1,1,7709 LONG POINT DR,78731,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13595953,7709 LONG POINT DRIVE,NA,Austin,Texas,United States,1,30.37075,-97.767442,1,rooftop,7709 Long Point Dr,NA,"Austin, TX 78731",NA,7709,Long Point Dr,NA,NA,Austin,TX,NA,Travis County,78731,US,NA,Capcog (Capital Area Council of Governments),gcod_usn6tc3uspqwl4m7kzpbpx47azsmb,NA
2806 SAN PEDRO ST UNIT A,UNIT 101: (south unit): New 1st floor unit of triplex  3 bathroom 3 bedroom shared patio & porch w/ other units.  Part of 2-story triplex  3-unit use.,2026-01-16,1,1,2806 SAN PEDRO ST UNIT A,78705,9,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13641614,2806 SAN PEDRO STREET UNIT A,NA,Austin,Texas,United States,1,30.293978,-97.745899,1,rooftop,2806 San Pedro St,Unit A,"Austin, TX 78705",NA,2806,San Pedro St,Unit,A,Austin,TX,NA,Travis County,78705,US,NA,City of Austin (Public Domain),gcod_usnq228v5uw6leggpxaeegrzmjgnf-krw99966gr8y5,building_centroid
5903 JORGE GUERRA ST,New Construction two-unit residential 3-story duplex: 3 bedroom 3 bath covered front porch and covered rear porch.,2025-12-31,1,3,5903 JORGE GUERRA ST,78721,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13479707,5903 JORGE GUERRA STREET,NA,Austin,Texas,United States,1,30.252229,-97.687724,1,rooftop,5903 Jorge Guerra St,NA,"Austin, TX 78721",NA,5903,Jorge Guerra St,NA,NA,Austin,TX,NA,Travis County,78721,US,NA,City of Austin (Public Domain),gcod_usnsc45qx6njqw3abaak4l5h7pb83,building_centroid
12500 SAINT THOMAS DR,Cascade 330-T-R Is a New one-story single-family residence with (3) bedrooms (2) bathrooms an attached two-car garage and a covered entry porch and patio.,2026-01-27,1,1,12500 SAINT THOMAS DR,78617,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13642705,12500 SAINT THOMAS DRIVE,NA,Austin,Texas,United States,1,30.180283,-97.618589,1,rooftop,12500 St Thomas Dr,NA,"Del Valle, TX 78617",NA,12500,St Thomas Dr,NA,NA,Del Valle,TX,NA,Travis County,78617,US,NA,City of Austin (Public Domain),gcod_usn5dsh7n8zr5ehazxzzaqmr273q6,building_centroid
