"","project_name","description","clean_address","geocodio_latitude","geocodio_longitude"
"100","1608 PEASE RD UNIT A","ePlan: Residential Expedited Review - New construction of a 2-Story Duplex [3bed 4bath]. Unit A","1608 PEASE ROAD UNIT A",30.285128,-97.758642
"101","7106 EAGLE ROSE RD","*Green Building* New 2-story 4 bedroom 3.5 bathroom single family residence with attached garage covered porch and rear covered patio.","7106 EAGLE ROSE ROAD",30.151175,-97.730425
"102","9512 WIGGY WAY","New construction single-family residential 1-story 4 bedroom 3 bedroom with attached 3-car garage covered front porch and covered rear patio.","9512 WIGGY WAY",30.140948,-97.707582
"103","4816 ABERDEEN DR BLDG 2","Bldg 2 New Construction of  3-Story Single Family Res. [3bed 2.5bath]","4816 ABERDEEN DRIVE BLDG 2",30.216646,-97.780235
"104","8110 BIRD SONG CIR","New construction of 2 story Duplex Condo each with 3 beds 2.5 baths and attached garage (8108 and 8110 Bird Song) - Unit B","8110 BIRD SONG CIR",30.189333,-97.809401
"105","4816 ABERDEEN DR UNIT 1A","Bldg 1A New Construction of  2-Story Single Family Res. [3bed 2.5bath] attached garage","4816 ABERDEEN DRIVE UNIT 1A",30.216646,-97.780235
"106","11408 CRAZY ALICE RUN","PB- New construction 4 bed 2.5 bath SFR with attached garage and covered front porch/rear covered patio","11408 CRAZY ALICE RUN",30.329837,-97.572487
"107","7711 HARDY DR","ePlan: Residential Expedited Review - New Construction of 2-story SF Res [5bed 4bath] with habitable attic and attached garage","7711 HARDY DRIVE",30.352214,-97.727987
"108","7214 EAGLE ROSE RD","PB- New construction 2 story 4 bed 3.5 bath","7214 EAGLE ROSE ROAD",30.150435,-97.728779
"109","7202 STITZEL WELLER DR","New SFR 1 - Story 3 bedroom 2 bath with attached 2-car garage covered front porch and covered rear patio

PUD","7202 STITZEL WELLER DRIVE",30.147898,-97.727482
"110","7204 STITZEL WELLER DR","*Green Building* New 2-story 3 bedroom 2.5 bathroom single family residence with attached garage covered front porch and rear covered patio.","7204 STITZEL WELLER DRIVE",30.148078,-97.727444
"111","4816 ABERDEEN DR UNIT 1B","ePlan: Residential Expedited Review - New Three Unit: Bldg. 1B New Construction of  2-Story Single Family Res. [3bed 2.5bath] attached garage","4816 ABERDEEN DRIVE UNIT 1B",30.216646,-97.780235
"112","8108 BIRD SONG CIR","New construction of 2 story Duplex Condo each with 3 beds 2.5 baths and attached garage (8108 and 8110 Bird Song) - Unit A","8108 BIRD SONG CIR",30.189371,-97.80948
"113","9401 GLADSOME PATH","*Green Building* New 2-story 3 bedroom 2.5 bathroom single family residence with attached garage covered front porch and rear covered patio.","9401 GLADSOME PATH",30.291799,-97.547056
"114","2602 WOOLDRIDGE DR","ePlan: Residential Expedited Review - New Second Unit: Existing Single Family Res to Remain As Is. New construction of 2-story SF Res [1bed 1bath]","2602 WOOLDRIDGE DRIVE",30.294841,-97.75132
"115","11212 KOKO CAYUSE TRL","*PB* New construction of 2 Story SFR with attached garage and covered patio and porch 4/3","11212 KOKO CAYUSE TRAIL",30.331251,-97.569883
"116","1704 MIRIAM AVE UNIT 1B","Unit 1B: New construction three-unit use duplex residential: Unit 1B: 3 bedroom 3 bath.","1704 MIRIAM AVE UNIT 1B",30.279591,-97.711368
"117","2807 ROCK TERRACE DR","ePlan: Residential Expedited Review - New construction of a 2-Story Single Family Res. [4bed 4.5bath] with Attached Garage.","2807 ROCK TERRACE DRIVE",30.251569,-97.786588
"118","12020 SAGRADA ST","2527CL NEW 2 STORY 5 BEDROOM 3 1/2 BATH SINGLE FAMILY RESIDENTIAL HOME WITH ATTACHED GARAGE COVERED FRONT PORCH AND REAR PATIO","12020 SAGRADA STREET",30.13032,-97.806416
"119","7109 SWEET PEA DR","New 1-story single family residence 4 bed/2 bath with covered porch and patio","7109 SWEET PEA DRIVE",30.158165,-97.596122
"120","9712 OXBOW STRAP DR","NEW 1 STORY SINGLE-FAMILY RESIDENCE ATTACHED GARAGE COVERED PORCH AND PATIO 4/2.5","9712 OXBOW STRAP DRIVE",30.323549,-97.593544
"121","6700 GALINDO ST BLDG 2","Building 2 New 1 Story Single Family Home 1/1","6700 GALINDO STREET BLDG 2",30.228873,-97.696208
"122","1704 MIRIAM AVE BLDG 2","Bldg 2: New construction three-unit use single-family residential 2-story 3 bedroom 3 bath with attached 1-car carport covered front porch covered rear patio and 2nd story balcony.","1704 MIRIAM AVE BLDG 2",30.279591,-97.711368
"123","1704 MIRIAM AVE UNIT 1A","Unit 1A: New construction three-unit use duplex residential: Unit 1A: 2-story 3 bedroom 3 bath.","1704 MIRIAM AVE UNIT 1A",30.279591,-97.711368
"124","8737 BIRMINGHAM DR","new construction - new 19x14 single story closed structure that will be on pier and beam foundation. electric is needed for outlets and lights as well as a mini split system.","8737 BIRMINGHAM DRIVE",30.179155,-97.806245
"125","5019 WEST PARK DR","ePlan: Residential Expedited Review - New construction of a 1-Story Single Family Res. [1bed 1bath]","5019 WEST PARK DRIVE",30.329197,-97.752767
"126","8712 PERISTYLE DR","New Construction - Anderson 2A/L 2 Story single family residence with 4 bedrooms 4 1/2 baths attached 2 car garage and covered entry porch and patio","8712 PERISTYLE DRIVE",30.145437,-97.710046
"127","6405 MESA DR","New 2-story single family residence 5-bed/6.5 bath with attached garage covered patios uncovered deck and rooftop deck","6405 MESA DRIVE",30.351905,-97.771469
"128","11224 KOKO CAYUSE TRL","New construction of 2 story sfr with 4 beds 3.5 baths opt study covered patio upper patio and entry with 2 car garage

PUD","11224 KOKO CAYUSE TRAIL",30.331205,-97.569367
"129","13236 LOSGLAID DR","1548AR NEW 1 STORY 3 BEDROOM 2 BATH SINGLE FAMILY RESIDENTIAL HOME WITH ATTACHED GARAGE COVERED FRONT PORCH AND REAR PATIO","13236 LOSGLAID DRIVE",30.149897,-97.626164
"130","8905 TURACO TRL","New construction- SFR 4 bedroom 4.5 bath. Reference approved PUD 
C8J-2020-0148 1B. Note that ROW permits shall be obtained through Travis Co","8905 TURACO TRAIL",30.14161,-97.708624
"131","2616 SHERWOOD LN","New construction of 2 story single-family residence 1 car garage 3 bathroom 3 bedroom rear covered patio 2nd floor w/ gable/dormer roof.","2616 SHERWOOD LANE",30.234124,-97.752933
"132","1207 DWYCE DR","ePlan: Residential Expedited Review - New Construction of a 2-Story Single Family Res. [4bed 4bath] with attached garage","1207 DWYCE DRIVE",30.338694,-97.725153
"133","1206 MARSHALL LN","New 2-story single family residence 4 bed/4.5 bath with attached carport and covered patio","1206 MARSHALL LANE",30.280028,-97.757196
"134","2000 BREEZE HOLW BLDG 1","Bldg. 1 New two story residence w/ 4 bed 3.5 baths front porch and deck.","2000 BREEZE HOLW BLDG 1",30.23508,-97.736232
"135","12308 SAINT THOMAS DR","Congaree 340-T-R Is A new one-story single family residence with (3) bedrooms (2) bathrooms an attached two-car garage and a covered entry porch and patio.","12308 SAINT THOMAS DRIVE",30.180994,-97.620055
"136","9509 GOLDEN LION DR","New 2-story single family residence 4 bed/4.5 bath with attached garage covered porch and patio","9509 GOLDEN LION DRIVE",30.141327,-97.70758
"137","12401 SAINT THOMAS DR","Congaree 340-T-L Is a New one-story single-family residence with (3) bedrooms (2) bathrooms an attached two-car garage and a covered entry porch and patio.","12401 SAINT THOMAS DRIVE",30.180453,-97.619893
"138","2000 BREEZE HOLW BLDG 2","Bldg. 2 New 1 bed 1 bath SFR with loft above detached garage.","2000 BREEZE HOLW BLDG 2",30.23508,-97.736232
"139","13202 KEEFER DR","Dexter 3317 B Right New - 2 Story SFR CONDOMINUM w/ 3 bedrooms 2.5 bathrooms attached 2 car garage covered entry porch and patio FFE: 681.97 Site Plan: SP-2021-0328C Site Plan Exp.: 01/09/27 Max Bld height: 27-6 Actual Bld height: 27-6 required parking: 2.","13202 KEEFER DRIVE",30.115351,-97.815674
