"","project_name","description","clean_address","geocodio_latitude","geocodio_longitude"
"2214","10830 DESERT TRL","UNIT D - 1041 - WILL HAVE A 2 CAR GARAGE 3 BEDROOMS 3.5BATHROOMS AND A BALCONY.","10830 DESERT TRAIL",30.384453,-97.701997
"2215","1503 OBREGON ST","BLDG 36 - UNIT C (UNIT 1050) WILL HAVE A 2 CAR GARAGE 3 BEDROOMS 3 FULL BATHROOMS 1 HALF BATH AND A BALCONY.","1503 OBREGON STREET",30.382402,-97.702888
"2216","10803 DESERT TRL","UNIT C DUPLEX - UNITS 1025 - WILL HAVE A 2 CAR GARAGE 3 BEDROOMS 3 FULL BATHROOMS 1 HALF BATH AND A BALCONY.","10803 DESERT TRAIL",30.383623,-97.702287
"2217","10805 DESERT TRL","BLDG 21 - UNIT C DUPLEX (UNIT 1024) WILL HAVE A 2 CAR GARAGE 3 BEDROOMS 3 FULL BATHROOMS 1 HALF BATH AND A BALCONY.","10805 DESERT TRAIL",30.383688,-97.702259
"2218","10828 DESERT TRL","BLDG 29 - UNIT D 1040 WILL HAVE A 2 CAR GARAGE 3 BEDROOMS 3.5BATHROOMS AND A BALCONY.","10828 DESERT TRAIL",30.384409,-97.702025
"2219","10800 DESERT TRL","BLDG 22 - UNIT D (UNIT 1026) WILL HAVE A 2 CAR GARAGE 3 BEDROOMS 3.5BATHROOMS AND A BALCONY.","10800 DESERT TRAIL",30.383656,-97.702493
"2220","10826 DESERT TRL","UNIT D - 1039 - WILL HAVE A 2 CAR GARAGE 3 BEDROOMS 3.5BATHROOMS AND A BALCONY.","10826 DESERT TRAIL",30.384355,-97.702072
"2221","1500 SANTAL PASS","BLDG 38 - UNIT C (UNIT 1011 - 1021 1047 - 1052) WILL HAVE A 2 CAR GARAGE 3 BEDROOMS 3 FULL BATHROOMS 1 HALF BATH AND A BALCONY.","1500 SANTAL PASS",30.382301,-97.702814
"2222","10820 DESERT TRL","BLDG 27 - Sonora UNIT D (UNIT 1036) WILL HAVE A 2 CAR GARAGE 3 BEDROOMS 3.5BATHROOMS AND A BALCONY.","10820 DESERT TRAIL",30.384198,-97.702166
"2223","10802 DESERT TRL","BLDG 22 - UNIT D (UNIT 1027) WILL HAVE A 2 CAR GARAGE 3 BEDROOMS 3.5BATHROOMS AND A BALCONY.","10802 DESERT TRAIL",30.383705,-97.702467
"2224","1504 SANTAL PASS","BLDG 37 - UNIT C (UNIT 1011 - 1021 1047 - 1052) WILL HAVE A 2 CAR GARAGE 3 BEDROOMS 3 FULL BATHROOMS 1 HALF BATH AND A BALCONY.","1504 SANTAL PASS",30.382336,-97.702912
"2225","10806 DESERT TRL","BLDG 23 - Sonora UNIT D (UNIT 1029) WILL HAVE A 2 CAR GARAGE 3 BEDROOMS 3.5BATHROOMS AND A BALCONY.","10806 DESERT TRAIL",30.383807,-97.7024
"2226","2816 SAN PEDRO ST","ePlan: Commercial Expedited Review - New Construction 4 Plex. (4 units - 9807 sf.).","2816 SAN PEDRO STREET",30.294788,-97.745956
"2227","2800 PEARL STREET","ePlan: Commercial Expedited Review - New Construction 4 plex (4 units - 2071.4).","2800 PEARL STREET",30.294873,-97.746195
"2228","10721 DESERT TRL","BLDG 30 - UNIT B (UNIT 1042) WILL HAVE A 1 CAR GARAGE 1 CARPORT 3 BEDROOMS 2 FULL BATHROOMS AND A HALF BATH.","10721 DESERT TRAIL",30.383068,-97.702544
"2229","1308 E M FRANKLIN AVE","New 1 Story Manufactured home with 2/2

REVISION Applicant has opted to place a Manufactured Home on the lot as opposed to construction the 2-story home.","1308 EAST M FRANKLIN AVE",30.279416,-97.695111
"2230","1706 REDD ST","ePlan: Residential Expedited Review - New construction of a Secondary 2-Story Single-Family Res. [3bed 2bath]","1706 REDD STREET",30.22707,-97.786438
"2231","2704 ESTONIA PATH","New 3-story condo SFR (4br/4.5ba) with attached garage","2704 ESTONIA PATH",30.222302,-97.723038
"2232","4901 MELLER GDNS","New 3-story condo SFR (3br/3.5ba) with attached garage","4901 MELLER GDNS",30.222553,-97.722929
"2233","4903 MELLER GDNS","New 3-story condo SFR (3br/3.5ba) with attached garage *PRODUCTION BUILDER- CONDO*","4903 MELLER GDNS",30.2225,-97.722871
"2234","1819 TILLERY ST","ePlan: Residential Expedited Review - New construction of a 3-Story Single Family Res. [3bed 3.5bath] with attached garage. 1819 Tillery St.","1819 TILLERY STREET",30.28236,-97.701514
"2235","1817 TILLERY ST","ePlan: Residential Expedited Review - New construction of a 3-Story Single Family Res. [3bed 3.5bath] with attached garage.
1817 Tillery St.","1817 TILLERY STREET",30.282292,-97.701491
"2236","1304 DUSKY THRUSH TRL","New 2 Story SFR 5 bed 4 bath with attached garage front covered porch and rear covered patio. Existing driveway to remain","1304 DUSKY THRUSH TRAIL",30.271754,-97.806479
"2237","2300 ENFIELD RD UNIT 306","Unit #306 New 3-story Condominium Residence with attached garage covered porch and patio.  *CONDOMINIUM RESIDENCE","2300 ENFIELD ROAD UNIT 306",30.28799,-97.767294
"2238","85 LLANO ST","New 2 story Residence with attached carport. 3/2.5","85 LLANO STREET",30.252114,-97.714573
"2239","16612 WIND CHIME DR","16612 Wind Chime Drive - Crockett 1489-S-L New 1-story single-family residence with (3) bedrooms (2) bathrooms attached 2 car garage covered entry porch and patio","16612 WIND CHIME DRIVE",30.294593,-97.551813
"2240","17000 WIND CHIME DR","17000 Wind Chime Drive - Kendall 1841-S-L New 1-story single-family residence with (4) bedrooms (2) bathrooms attached 2 car garage covered entry porch and patio","17000 WIND CHIME DRIVE",30.295045,-97.548923
"2241","16916 WIND CHIME DR","16916 Wind Chime Drive - Bowie 1403-S-R New 1-story single-family residence with (3) bedrooms (2) bathrooms attached 2 car garage covered entry porch and patio","16916 WIND CHIME DRIVE",30.295039,-97.549097
"2242","409 KREBS LN","Expedited Review: New Construction of a 2-Story Single Family Res [4bed 3.5bath] with attached Garage.","409 KREBS LANE",30.22673,-97.766713
"2243","5306 GROVER AVE","New construction of 2 story SFR 4 bed 3 bath with attached carport and garage rear covered patio and rear covered wood deck","5306 GROVER AVE",30.323868,-97.73389
"2244","200 W 56TH ST BLDG 5 UNIT 5104","Unit 5104. New 2-story 3 bedroom 3 bathroom townhome residence w/ attached garage.","200 WEST 56TH STREET UNIT 5104",30.322371,-97.721158
"2245","200 W 56TH ST BLDG 5 UNIT 5103","Unit 5103. New 2-story 3 bedroom 3 bathroom townhome residence w/ attached garage.","200 WEST 56TH STREET UNIT 5103",30.322371,-97.721158
"2246","200 W 56TH ST BLDG 5 UNIT 5102","Unit 5102. New 2-story 3 bedroom 3 bathroom townhome residence w/ attached garage.","200 WEST 56TH STREET UNIT 5102",30.322371,-97.721158
"2247","200 W 56TH ST BLDG 5 UNIT 5101","Unit 5101. New 2-story 3 bedroom 3 bathroom townhome residence w/ attached garage.","200 WEST 56TH STREET UNIT 5101",30.322371,-97.721158
"2248","1170 1/2 SAN BERNARD ST--UNIT 1B","ePlan: Residential Expedited Review - New construction of a 2-Story Duplex [3bed 2.5bath] with attached Carport Bldg 1 Unit 1B","1170 1/2 SAN BERNARD STREET UNIT 1B",30.270337,-97.726362
"2249","1170 1/2 SAN BERNARD ST--BLDG 2","ePlan: Residential Expedited Review - New construction of a 2-Story Single Family Res. [3bed 2.5bath] with attached Carport Bldg 2","1170 1/2 SAN BERNARD STREET BLDG 2",30.270337,-97.726362
"2250","1170 1/2 SAN BERNARD ST--UNIT 1A","ePlan: Residential Expedited Review - New construction of a 3-Story Duplex [3bed 3bath] with attached Carport Bldg 1 Unit 1A","1170 1/2 SAN BERNARD STREET UNIT 1A",30.270337,-97.726362
"2251","7516 NORTHCREST BLVD BLDG 2","Expedited Review - New Construction of a 2-Story Secondary Apartment [2bed 2bath]","7516 NORTHCREST BOULEVARD BLDG 2",30.340222,-97.709321
"2252","3607 ROBBINS RD","ePlan: Residential Expedited Review - New construction of an 2-Story Single-Family Res. [5bed 5.5bath]  with attached/detached Garage/Carport.","3607 ROBBINS ROAD",30.340741,-97.816881
"2253","3900 BONNELL DR","ePlan: Residential Expedited Review - New construction of a 3-Story Single-Family Res. [6bed 6bath] with attached Garage.","3900 BONNELL DRIVE",30.321363,-97.772338
"2254","2601 LANSBURY DR BLDG 2","New 1-story dwelling unit 1 bed/1 bath craft room and screened in porch","2601 LANSBURY DRIVE BLDG 2",30.307121,-97.683246
"2255","10910 HILLSIDE OAK LN BLDG 2","Retroactively permit 1-story 1 bedroom 1 bathroom dwelling unit.","10910 HILLSIDE OAK LANE BLDG 2",30.461553,-97.807095
"2256","3604 TOM MILLER ST","2-Unit use: New construction single-family residential 2-story 4 bedroom 3.5 bath with attached 2-car garage covered front porch covered rear patio and 2nd story balcony.","3604 TOM MILLER STREET",30.291437,-97.691231
"2257","3604 TOM MILLER ST UNIT B","2 Unit use: New construction single family residential 2-story 1 bedroom 1 bath with attached 1-car carport and covered patio.","3604 TOM MILLER STREET UNIT B",30.291437,-97.691231
"2258","6311 WALNUT HILLS DR BLDG 2","Res. Expedited Review: New construction of UNIT 2 as MODULAR 3-Story [3bed 2.5bath] on a THREE-UNIT RES. LOT.","6311 WALNUT HILLS DRIVE BLDG 2",30.310661,-97.676225
"2259","1311 CASEY ST","Expedited Review - New construction of a 2-story duplex [6bed 7bath] with habitable attic 1-car attached garage and 1-car carport.","1311 CASEY STREET",30.225728,-97.781796
"2260","1009 KAREN AVE","New 2-Story SFR 4 Bed/3.5 Bath attached garage covered porches and deck","1009 KAREN AVE",30.334386,-97.724712
"2261","1201 AZIE MORTON RD BLDG 3","ePlan: Residential Expedited Review - New construction of a 3-Story Single Family Res. [4bed 3.5bath] with attached Garage. Bldg 3.","1201 AZIE MORTON ROAD BLDG 3",30.259151,-97.77174
"2262","6311 WALNUT HILLS DR BLDG 1","Res. Expedited Review: New construction of UNIT 1 as MODULAR 3-Story [3bed 2.5bath] on a THREE-UNIT RES. LOT.","6311 WALNUT HILLS DRIVE BLDG 1",30.310661,-97.676225
"2263","1201 AZIE MORTON RD BLDG 1","ePlan: Residential Expedited Review - New construction of a 3-Story Single Family Res. [4bed 3.5bath] with attached Garage. Bldg 1.

New 85sqft Pool 1. Bldg 1. (Unit A)
New 54sqft Pool 2. Bldg 2. (Unit B)
New 131sqft Pool 3. Bldg 3. (Unit C)","1201 AZIE MORTON ROAD BLDG 1",30.259151,-97.77174
"2264","6311 WALNUT HILLS DR BLDG 3","Res. Expedited Review: New construction of UNIT 3 as MODULAR 3-Story [3bed 2.5bath] on a THREE-UNIT RES. LOT.","6311 WALNUT HILLS DRIVE BLDG 3",30.310661,-97.676225
"2265","1201 AZIE MORTON RD BLDG 2","ePlan: Residential Expedited Review - New construction of a 3-Story Single Family Res. [4bed 3.5bath] with attached Garage. Bldg 2.","1201 AZIE MORTON ROAD BLDG 2",30.259151,-97.77174
"2266","6309 WALNUT HILLS DR BLDG 2","UNIT 2 3-Story [3bed 2.5bath]","6309 WALNUT HILLS DRIVE BLDG 2",30.310501,-97.676234
"2267","6309 WALNUT HILLS DR BLDG 3","UNIT 3 3-Story [3bed 2.5bath]","6309 WALNUT HILLS DRIVE BLDG 3",30.310501,-97.676234
"2268","2904 OAK PARK DR","Expedited Review - New Construction of a 2-Story Single Family Res. [4bed 3bath] with attached 2-car Garage.","2904 OAK PARK DRIVE",30.248061,-97.786241
"2269","6309 WALNUT HILLS DR BLDG 1","ePlan: Residential Expedited Review - New construction of a UNIT 1 3-Story [3bed 2.5bath]","6309 WALNUT HILLS DRIVE BLDG 1",30.310501,-97.676234
"2270","1136 POQUITO ST--UNIT B","New construction of two family building duplex - Unit B","1136 POQUITO STREET UNIT B",30.268215,-97.717474
"2271","1138 POQUITO ST--UNIT B","*SMART Housing* *Green Building* New 2-story 6 bedroom 4 bathroom duplex condo residence with covered porches. Unit B of duplex will consist of 3 bedrooms and 2 bathrooms.","1138 POQUITO STREET UNIT B",30.268372,-97.717544
"2272","1138 POQUITO ST--UNIT A","*SMART Housing* *Green Building* New 2-story 6 bedroom 4 bathroom duplex condo residence with covered porches. Unit A of duplex will consist of 3 bedrooms and 2 bathrooms.","1138 POQUITO STREET UNIT A",30.268372,-97.717544
"2273","1144 POQUITO ST UNIT B","Smart Housing Duplex Unit B New 2-Story 3 Bed/2 Bath with covered porch","1144 POQUITO STREET UNIT B",30.268814,-97.717582
"2274","1146 POQUITO ST--UNIT A","*SMART Housing* *Green Building* New 2-story 6 bedroom 4 bathroom duplex condo residence with covered porches. Unit A of duplex will consist of 3 bedrooms and 2 bathrooms.","1146 POQUITO STREET UNIT A",30.268985,-97.717624
"2275","1136 POQUITO ST--UNIT A","New construction of two family building duplex. Unit A","1136 POQUITO STREET UNIT A",30.268215,-97.717474
"2276","8507 WALHILL CV","Expedited Review - New construction of an 2-Story Single-Family Res. [5bed 4bath] with attached Garage.","8507 WALHILL CV",30.382048,-97.755507
"2277","1144 POQUITO ST--UNIT A","Smart Housing Duplex Unit A New 2-Story 3 Bed/2 Bath with covered porch","1144 POQUITO STREET UNIT A",30.268814,-97.717582
"2278","1142 POQUITO ST--UNIT A","*SMART Housing* *Green Building* New 2-story 6 bedroom 4 bathroom duplex condo residence with covered porches. Unit A of duplex will consist of 3 bedrooms and 2 bathrooms.","1142 POQUITO STREET UNIT A",30.268667,-97.717525
"2279","1140 POQUITO ST--UNIT A","*SMART Housing* *Green Building* New 2-story 6 bedroom 4 bathroom duplex condo residence with covered porches. Unit A of duplex will consist of 3 bedrooms and 2 bathrooms.","1140 POQUITO STREET UNIT A",30.26852,-97.717515
"2280","1140 POQUITO ST--UNIT B","*SMART Housing* *Green Building* New 2-story 6 bedroom 4 bathroom duplex condo residence with covered porches. Unit B of duplex will consist of 3 bedrooms and 2 bathrooms.","1140 POQUITO STREET UNIT B",30.26852,-97.717515
"2281","1142 POQUITO ST--UNIT B","*SMART Housing* *Green Building* New 2-story 6 bedroom 4 bathroom duplex condo residence with covered porches. Unit B of duplex will consist of 3 bedrooms and 2 bathrooms.","1142 POQUITO STREET UNIT B",30.268667,-97.717525
"2282","1146 POQUITO ST--UNIT B","*SMART Housing* *Green Building* New 2-story 6 bedroom 4 bathroom duplex condo residence with covered porches. Unit B of duplex will consist of 3 bedrooms and 2 bathrooms.","1146 POQUITO STREET UNIT B",30.268985,-97.717624
"2283","2319 CYPRESS POINT EAST","Expedited Review - New Construction of a 2-Story Single Family Res. [5bed 7bath] with basement and attached Garage.-Permit voided as a result of disannexation effective September 9 2024. See Ordinance No. 20240829-163.","2319 CYPRESS POINT EAST",30.277301,-97.843265
"2284","6300 MOUNTAIN PARK CV BLDG 2","New dwelling with deck","6300 MOUNTAIN PARK CV BLDG 2",30.35861,-97.785802
"2285","5717 LOST HORIZON DR BLDG 7","New condo 3 bed 2.5 bath with attached garage","5717 LOST HORIZON DRIVE BLDG 7",30.401326,-97.763411
"2286","8111 BRETTONWOODS LN UNIT B","*Change of Use* Attaching existing detached structure to rear/side of existing 2-story single family residence to create a duplex. New attached duplex unit will contain a family room kitchen bedroom bathroom and loft.","8111 BRETTONWOODS LANE UNIT B",30.341611,-97.691636
"2287","1502 HILLMONT ST UNIT B","New construction attached 2-unit use single family residential 2-Story garage apartment to include: 1 bedroom 1 bath with covered front porch and stairs (1st floor) and balcony.","1502 HILLMONT STREET UNIT B",30.260589,-97.760649
"2288","81 WALLER ST","New construction single family residential 1-story 2 bedroom 2 bath with covered front porch.","81 WALLER STREET",30.258431,-97.733047
"2289","1502 HILLMONT ST UNIT A","New construction two-unit residential 3-story 3 bedroom w/ office 2.5 bath with attached 2-car garage rear covered patio uncovered wood deck 2nd floor covered deck and 3rd floor uncovered deck;","1502 HILLMONT STREET UNIT A",30.260589,-97.760649
"2290","200 W 56TH ST UNIT 2104","Unit 2104: New construction single family residential 2-story 3 bedroom 3 bath with attached 2-car garage.","200 WEST 56TH STREET UNIT 2104",30.322371,-97.721158
"2291","200 W 56TH ST UNIT 2102","Unit 2102: New construction single family residential 2-story 3 bedroom 3 bath with attached 2-car garage.","200 WEST 56TH STREET UNIT 2102",30.322371,-97.721158
"2292","200 W 56TH ST UNIT 2103","Unit 2103: New construction single family residential 2-story 3 bedroom 3 bath with attached 2-car garage.","200 WEST 56TH STREET UNIT 2103",30.322371,-97.721158
"2293","200 W 56TH ST UNIT 2101","Unit 2101: New construction single family residential 2-story 3 bedroom 3 bath with attached 2-car garage.","200 WEST 56TH STREET UNIT 2101",30.322371,-97.721158
"2294","200 W 56TH ST UNIT 1104","Unit 1104: New construction single family residential 2-story 3 bedroom 3 bath with attached 2-car garage.","200 WEST 56TH STREET UNIT 1104",30.322371,-97.721158
"2295","200 W 56TH ST UNIT 1103","Unit 1103: New construction single family residential 2-story 3 bedroom 3 bath with attached 2-car garage.","200 WEST 56TH STREET UNIT 1103",30.322371,-97.721158
"2296","200 W 56TH ST UNIT 1102","Unit 1102: New construction single family residential 2-story 3 bedroom 3 bath with attached 2-car garage.","200 WEST 56TH STREET UNIT 1102",30.322371,-97.721158
"2297","5519 JACKIE ROBINSON ST","Unit 01 - New two-story detached single family residence. (2) bedroom (2.5) bathrooms attached 1 car garage. Floor plan type: The Roosevelt A-L-Elevation Option 1. Building Height 25ft-1/4in. Maximum Height 30ft. Required Parking: 2.","5519 JACKIE ROBINSON STREET",30.2762,-97.677362
"2298","200 W 56TH ST UNIT 1101","Unit 1101: New construction single family residential 2-story 3 bedroom 3 bath with attached 2-car garage.","200 WEST 56TH STREET UNIT 1101",30.322371,-97.721158
"2299","204 PECAN DR BLDG 1","Bldg 1(front building): New 2-Story [3bed 2.5bath] with attached Garage. Part of 3-unit use.","204 PECAN DRIVE BLDG 1",30.352514,-97.698475
"2300","12615 LYNDON DR","ePlan: Residential Expedited Review - New construction of a 3-Story Single-Family Res. [7bed 7.5bath] with attached Garage.","12615 LYNDON DRIVE",30.391129,-97.882482
"2301","4806 CARSONHILL DR BLDG 2","New 1-story 1 bedroom 2 bathroom dwelling unit.","4806 CARSONHILL DRIVE BLDG 2",30.289584,-97.675797
"2302","3401 BURLESON RD BLDG 2","New 1-story 3 bedroom 2 bathroom manufactured home.","3401 BURLESON ROAD BLDG 2",30.217402,-97.733499
"2303","107 LITTLE WALNUT DR UNIT B","107 Little Walnut Dr Unit B (east unit). New 3-story modular duplex unit  2.5 bathroom  covered porch attached 1-car garage.  Part of 3-unit residential use.","107 LITTLE WALNUT DRIVE UNIT B",30.352743,-97.698528
"2304","107 LITTLE WALNUT DR UNIT A","107 Little Walnut Dr Unit A (west unit) new 3-story modular duplex unit .  Part of 3-unit residential use.","107 LITTLE WALNUT DRIVE UNIT A",30.352743,-97.698528
"2305","200 PECAN DR","200 Pecan Dr  New 2 story detached modular residence 4 bedroom 3 bathroom attached garage.  Part of 3- unit use.","200 PECAN DRIVE",30.352648,-97.698715
"2306","3805 ROCKLEDGE DR BLDG 2","ePlan: Residential Expedited Review - New construction of a TWO RES. UNIT 2  2-Story [5bed 4.5bath] with attached Garage","3805 ROCKLEDGE DRIVE BLDG 2",30.353737,-97.761854
"2307","3805 ROCKLEDGE DR BLDG 1","ePlan: Residential Expedited Review - New construction of a TWO RES. UNIT 1 2-Story [5bed 4.5bath] with attached Garage","3805 ROCKLEDGE DRIVE BLDG 1",30.353737,-97.761854
"2308","613 E 50TH ST BLDG 1","Permitting of addition to main house","613 EAST 50TH STREET BLDG 1",30.312083,-97.718883
"2309","1708 CORONA DR","new 1-story single-family res with 2 bedroom 3 bathrooms attached garage covered patio","1708 CORONA DRIVE",30.308144,-97.694831
"2310","613 E 50TH ST BLDG 2","Building 2 New Two Story Single Family House to the rear of Main house","613 EAST 50TH STREET BLDG 2",30.312083,-97.718883
"2311","1315 W ST JOHNS AVE","Expedited Review - New Construction of a 2-Story Single Family Res. [3bed 4.5bath]","1315 WEST STREET JOHNS AVE",30.341931,-97.725303
"2312","400 BRADY LN","ePlan: Residential Expedited Review - New construction of an 2-Story Single-Family Res. [4bed 5.5bath]  with attached Garage and Pool.","400 BRADY LANE",30.280926,-97.789911
"2313","3606 FALL TRL BLDG 2","New semi-attached garage & garage apartment (1 bedroom balcony 1 bath & sink outside bathroom)","3606 FALL TRAIL BLDG 2",30.318696,-97.772795
"2314","3606 FALL TRL","ePlan: Residential Expedited Review - New construction of an 2-Story Single-Family Res. [bed bath] with Accessary Structure above detached Garage and (Autofill/Heated) Pool.","3606 FALL TRAIL",30.318696,-97.772795
"2315","2611 OAK CREST AVE","*HOME* New construction two-unit residential 2-story duplex 3 bedroom (both units) 2.5 bath (both units) with attached 1-car garage (both units) covered front porch (both units) and uncovered rear wood deck (both units).","2611 OAK CREST AVE",30.239421,-97.764145
"2316","1001 JEWELL ST","New 2 story unit with 4 bedrooms 3.5 bathrooms. 


REVISION: Remove the basement from the application and update the calculation aids along with the final Building/ Impervious coverage precents.","1001 JEWELL STREET",30.252024,-97.759965
"2317","803 RIVER RD","New 2-story SFR w/crawspace with attached garage and covered porch 5/5.5","803 RIVER ROAD",30.342033,-97.930919
"2318","3705 LAGOOD DR","New 2-story SFR 4 bed 4.5 bath with attached garage with rear covered patio and rear balcony","3705 LAGOOD DRIVE",30.36074,-97.855269
"2319","2001 S 1ST ST","ePlan: Expedited Review -  New Construction Single (1) Apartment in Garage (Below podium) 853 sf. Contians Maintenance and Bike Storage.","2001 SOUTH 1ST STREET",30.245596,-97.756923
"2320","4311 SHADOW OAK LN","Expedited Review: Existing Guest Res to remain; no work to be done. New construction of a 2-Story Res [3bed 5.5bath] with attached 3-Car Garage.","4311 SHADOW OAK LANE",30.334742,-97.78631
"2321","5401 MC CANDLESS ST","New garage with apartment and a pre-manufactured pool inside the building","5401 MC CANDLESS STREET",30.323076,-97.730165
"2322","1007 E 15TH ST BLDG 3","Expedited Review :  Bldg 3 ; southeast building.  New construction of 3-Story [3bed 4bath] with attached Carport.   Property to become 3-unit residential per 2024 phase 1 Home ordinance.","1007 EAST 15TH STREET BLDG 3",30.275226,-97.72892
"2323","1719 CHANNEL RD","New 2-Story SFR with attached garage and covered porch 5/8","1719 CHANNEL ROAD",30.342417,-97.79078
"2324","2000 RIVERSIDE FARMS RD","Building 22 Unit 22101  Unit 22102  2 story duplex   4/5","2000 RIVERSIDE FARMS ROAD",30.230072,-97.71493
"2325","2000 RIVERSIDE FARMS RD BLDG 18","Bldg 18: Unit 18101 & 12102; New construction two family residential duplex 2-story 2 bedroom (both units) 2.5 bath (both units) with attached 1-car garage (both units) and 2nd story balcony (both units).","2000 RIVERSIDE FARMS ROAD BLDG 18",30.230072,-97.71493
"2326","5304 PALO BLANCO LN","New 1-story 3 bedroom 2 bathroom secondary dwelling unit.","5304 PALO BLANCO LANE",30.197164,-97.748582
"2327","9300 BLUEGRASS DR BLDG 2","new 2-story guest house w/ 2 car garage and 2 story deck at rear of home","9300 BLUEGRASS DRIVE BLDG 2",30.396951,-97.767815
"2328","13911 LAKE VIEW DR","New Construction 2 story residential with 3 bedrooms and 3.5 bathrooms.","13911 LAKE VIEW DRIVE",30.416151,-97.889966
"2329","1120 WALTON LN BLDG 1","New 2-story 3 bedroom 3 bathroom dwelling unit with covered porches and uncovered wood deck.","1120 WALTON LANE BLDG 1",30.259187,-97.688011
"2330","1120 WALTON LN BLDG 2","New 1-story 2 bedroom 2 bathroom dwelling unit with covered porch and uncovered wood deck.","1120 WALTON LANE BLDG 2",30.259187,-97.688011
"2331","919 E 37TH ST BLDG 1","BLDG #1 New 2-Story SFR 4 Bed/5 Bath with habitable attic covered porch covered patio rooftop deck attached 2-Story Garage/Studio","919 EAST 37TH STREET BLDG 1",30.29406,-97.72259
"2332","919 E 37TH ST BLDG 2","BLDG #2 New 2-Story ADU 2 Bed/2.5 Bath with attached garage covered porch balcony and roof deck","919 EAST 37TH STREET BLDG 2",30.29406,-97.72259
"2333","4811 PARK LN","New single-story SFR w/ attached garage. 4 bedrooms 3 bathrooms. covered patio","4811 PARK LANE",30.392218,-97.890164
"2334","1505 GARNER AVE","Expedited Review - New construction of 2-story single family home w/ breezeway attached  2-car carport","1505 GARNER AVE",30.254674,-97.768769
"2335","2004 MEADOWBROOK DR","New 2-story 2 bedroom 3 bathroom single family residence with attached carport. front uncovered wood deck and rear covered porch.","2004 MEADOWBROOK DRIVE",30.296026,-97.771433
"2336","2300 BLUEBONNET LN","Expedited Review: New Construction of a 2-Story Single Family Res [3bed 4.5bath] with attached 1-Car Garage","2300 BLUEBONNET LANE",30.248393,-97.7766
"2337","3817 WESTLAKE DR","Expedited Review: New Construction of a 2-Story Single Family Res [5bed/9bath] with attached 3-Car Garage.  (No D/S Permit)

REVISION 1 Includes: Change of architect to Cornerstone Architects: Change of construction type from steel/metal  framing to traditional wood construction with steel components.","3817 WESTLAKE DRIVE",30.326445,-97.779599
"2338","3718 MENCHACA RD","UNIT 203 -  New 3 story with attached garage office and roof top. 2/2.5","3718 MENCHACA ROAD",30.235958,-97.784887
"2339","3718 MENCHACA RD","UNIT 201 -  New 3 story with attached garage office and roof top. 2/2.5","3718 MENCHACA ROAD",30.235958,-97.784887
"2340","3718 MENCHACA RD","UNIT 202 -  New 3 story with attached garage office and roof top. 2/2.5","3718 MENCHACA ROAD",30.235958,-97.784887
"2341","704 E 49TH ST UNIT 2","Expedited Review - New Construction of a 2-Story Secondary Apartment [2bed 2.5bath] with attached 1-car Garage","704 EAST 49TH STREET UNIT 2",30.310875,-97.718185
"2342","8800 FELIX SPARKE DR","New 2-story 5-unit Townhouse building - Lantana 5 Plexb â Elevation C â Prairie.
 8800 Felix spare drive. Units 1-4 will have 3 bedrooms and 2.5 baths unit 5 will have 4 bedrooms and 2.5 baths.","8800 FELIX SPARKE DRIVE",30.151987,-97.708243
"2343","3100 GARWOOD ST","Expedited Review - New Construction of a 2-Story Single Family Res. [3bed 3.5bath] with attached 1-car Garage","3100 GARWOOD STREET",30.260227,-97.705952
"2344","1514 NEWTON ST","Expedited Review: New Construction of a 2-Story Single Family Res [4bed 3.5bath]","1514 NEWTON STREET",30.248757,-97.7527
"2345","5509 WILLIAM HOLLAND AVE","New 2 Story Duplex
Unit A: 5 bedrooms 4.5 bathrooms attached garage covered porch and patio
Unit B: 1 bedrooms 1 bathrooms above attached garage","5509 WILLIAM HOLLAND AVE",30.328838,-97.7373
"2346","1301 MINNIE DR","Expedited Review: New Construction of a 2-Story Single Family Res [3bed 3bath] with attached Garage.","1301 MINNIE DRIVE",30.331947,-97.925916
"2347","1506 KIT CIR","2699 AL (The Walnut) - New 2-story SF Home with 4 Bedrooms 3 .5 Bathrooms Game Room Study Cov Patio & Cov Porch with a 2-car attached Garage.","1506 KIT CIR",30.406441,-97.689791
"2348","17001 WIND CHIME DR","Antone 1519-A-L New 2-story single-family residence with (3) bedrooms (2.5) bathrooms  covered entry porch.","17001 WIND CHIME DRIVE",30.294623,-97.548811
"2349","17005 WIND CHIME DR","Arc 1148-A-R New 1-story single-family residence with (2) bedrooms (2) bathrooms covered entry porch.","17005 WIND CHIME DRIVE",30.294624,-97.548683
"2350","9608 DEMURE DR","Burnet 1864-A-R New 2-story single-family residence with (3) bedrooms (2.5) bathrooms covered entry porch.","9608 DEMURE DRIVE",30.2943,-97.548288
"2351","5800 CARY DR","Expedited Review - New Construction of a 2-Story Single Family Res. [5bed 4bath] with attached Garage.

General contractor is responsible to verify the scope of work on 2023 122794  TP completes the proper mitigation to clear out the 2022 102244 ECV Enterprise Violation. See conditions.","5800 CARY DRIVE",30.335572,-97.747439
"2352","2308 LA CASA DR","Expedited Review: New Construction of a 2-Story single Family Res [4bed 5bath] with attached 2-Car Garage and Habitable Attic.","2308 LA CASA DRIVE",30.248971,-97.782069
